"","in_pwy","impact","DWM.avg","RYGB.avg","RYGBvsDWM.t","RYGBvsDWM.p","RYGBvsDWM.FDR","CHEBI"
"GCKR",FALSE,0.037,-0.0632,-0.139,-1,0.323,0.576,NA
"LDHB",FALSE,0.0359,0.319,-0.062,-1.29,0.207,0.543,NA
"CHEBI:45744",FALSE,0.0351,0.141,0.0201,-0.62,0.539,0.722,"N-acetylneuraminate"
"CHEBI:15978",FALSE,0.0345,-0.0694,-0.251,-0.847,0.402,0.632,"glycerol 3-phosphate"
"CHEBI:17553",FALSE,0.0344,0.216,-0.272,-1.68,0.102,0.505,"phosphoethanolamine"
"ATP5B",FALSE,0.0338,0.124,-0.242,-2.03,0.0497,0.412,NA
"SOD1",FALSE,0.0337,0.406,-0.0295,-1.19,0.241,0.546,NA
"CHEBI:7916",FALSE,0.0335,0.318,0.889,2.59,0.0139,0.259,"pantothenate"
"CA9",FALSE,0.0331,-0.188,0.179,2.37,0.0233,0.334,NA
"CXCL11",FALSE,0.0328,0.412,-0.0163,-1.95,0.0586,0.446,NA
"ENTPD3",FALSE,0.0325,0.168,0.00581,-1.2,0.237,0.545,NA
"SIGLEC1",FALSE,0.0312,0.0538,-0.0125,-1.04,0.303,0.569,NA
"BSG",FALSE,0.0307,0.0212,-0.163,-1.1,0.277,0.562,NA
"CHEBI:15444",FALSE,0.0306,-0.26,-0.211,0.429,0.67,0.808,"glucose"
"CHEBI:15603",FALSE,0.0305,-0.0791,-0.34,-4.03,0.000275,0.0194,"leucine"
"CHEBI:15428",FALSE,0.0305,0.196,0.329,1.45,0.155,0.543,"glycine"
"CA1",FALSE,0.0304,0.524,-0.0952,-1.22,0.232,0.543,NA
"CHEBI:17568",FALSE,0.0298,-0.0138,-0.561,-2.19,0.0353,0.372,"uracil"
"CHEBI:17712",FALSE,0.0292,-0.0866,-0.32,-1.96,0.0581,0.446,"xanthine"
"SFTPD",FALSE,0.0289,0.171,-0.329,-1.24,0.222,0.543,NA
"CHEBI:18095",FALSE,0.0286,-0.245,-0.0505,0.948,0.35,0.593,"trans-4-hydroxyproline"
"LGALS2",FALSE,0.0281,-0.038,0.102,1.5,0.143,0.543,NA
"VCAM1",FALSE,0.0277,-0.0542,0.171,2.73,0.00981,0.218,NA
"CHEBI:16643",FALSE,0.0276,0.0103,-0.0869,-1.11,0.274,0.561,"methionine"
"CHEBI:1941",FALSE,0.0272,0.0384,-0.138,-1.62,0.115,0.53,"deoxycarnitine"
"CKM",FALSE,0.027,0.21,-0.255,-2.79,0.00831,0.206,NA
"FGG",FALSE,0.0268,0.0585,0.223,1.84,0.0746,0.471,NA
"CA10",FALSE,0.0268,-0.0368,0.0422,1.12,0.268,0.558,NA
"ARG1",FALSE,0.0266,-0.127,0.0481,2.15,0.0387,0.386,NA
"HSP90AA1",FALSE,0.0266,0.101,-0.336,-1.94,0.06,0.45,NA
"CA3",FALSE,0.0256,0.7,-0.0236,-1.52,0.136,0.543,NA
"CHEBI:16015",FALSE,0.0249,-0.225,-0.319,-0.411,0.683,0.818,"glutamate"
"HSD17B10",FALSE,0.0236,0.277,-0.157,-1.31,0.199,0.543,NA
"CHEBI:15354",FALSE,0.0236,-0.105,-0.736,-6.13,4.68e-07,0.000251,"choline"
"CA13",FALSE,0.0235,0.0557,-0.404,-1.3,0.2,0.543,NA
"NAMPT",FALSE,0.0229,0.00523,-0.198,-1.77,0.0848,0.478,NA
"CHEBI:17115",FALSE,0.0219,0.111,0.252,1.79,0.0815,0.477,"serine"
"CHEBI:17992",FALSE,0.0216,-0.162,-0.858,-0.784,0.438,0.654,"sucrose"
"CHEBI:17196",FALSE,0.0216,0.0664,-0.187,-3.58,0.000998,0.0474,"asparagine"
"GPT",FALSE,0.0209,0.133,0.0524,-0.637,0.528,0.715,NA
"PGD",FALSE,0.0207,0.306,-0.196,-1.33,0.193,0.543,NA
"DDX19B",FALSE,0.0206,-0.0138,0.0705,0.97,0.338,0.587,NA
"PTPN2",FALSE,0.0205,-0.054,0.0948,1.95,0.0593,0.448,NA
"CHEBI:30887",FALSE,0.0205,0.415,0.123,-0.541,0.592,0.761,"isocitrate"
"CX3CL1",FALSE,0.0195,-0.0594,0.14,1.99,0.0539,0.429,NA
"HBA1",FALSE,0.0194,1.78,0.103,-1.26,0.216,0.543,NA
"TNFRSF1B",FALSE,0.019,-0.118,0.233,2.79,0.00829,0.206,NA
"KRAS",FALSE,0.0186,-0.221,0.0202,1.59,0.121,0.53,NA
