"","in_pwy","impact","DWM.avg","RYGB.avg","RYGBvsDWM.t","RYGBvsDWM.p","RYGBvsDWM.FDR","CHEBI"
"PDGFA",FALSE,0.0155,0.0788,-0.377,-1.66,0.106,0.514,NA
"SERPIND1",FALSE,0.0152,-0.0885,-0.265,-2.88,0.0067,0.191,NA
"HSP90AA1",FALSE,0.0151,0.101,-0.336,-1.94,0.06,0.45,NA
"PDGFC",FALSE,0.0151,-0.101,0.0941,1.49,0.144,0.543,NA
"CHEBI:17154",FALSE,0.015,0.282,0.00211,-0.88,0.385,0.624,"nicotinamide"
"HMOX2",FALSE,0.015,0.146,0.017,-1.18,0.244,0.548,NA
"ENTPD3",FALSE,0.015,0.168,0.00581,-1.2,0.237,0.545,NA
"CDKN1B",FALSE,0.0149,0.203,-0.18,-1.67,0.104,0.513,NA
"INSR",FALSE,0.0148,-0.331,0.0311,2.18,0.036,0.372,NA
"NR1D1",FALSE,0.0146,0.237,-0.0648,-1.67,0.104,0.513,NA
"PRKCQ",FALSE,0.0144,-0.086,-0.382,-1.14,0.261,0.557,NA
"ROR1",FALSE,0.0143,-0.0822,0.125,2.13,0.0405,0.388,NA
"LYVE1",FALSE,0.0143,-0.00116,0.0871,1.32,0.196,0.543,NA
"PDXP",FALSE,0.0142,0.391,-0.106,-1.3,0.2,0.543,NA
"PGAM1",FALSE,0.014,-1.35,-0.54,1.02,0.315,0.571,NA
"EPHA3",FALSE,0.014,-0.0708,0.0399,1.1,0.278,0.562,NA
"IGHD",FALSE,0.014,0.142,0.0271,-0.672,0.506,0.701,NA
"BST1",FALSE,0.0139,-0.148,-0.0386,0.669,0.508,0.701,NA
"PRKCA",FALSE,0.0137,0.113,-0.37,-1.56,0.128,0.54,NA
"ZAP70",FALSE,0.0137,-0.113,0.032,1.64,0.11,0.523,NA
"CHEBI:15978",FALSE,0.0136,-0.0694,-0.251,-0.847,0.402,0.632,"glycerol 3-phosphate"
"ARG1",FALSE,0.0135,-0.127,0.0481,2.15,0.0387,0.386,NA
"DDX19B",FALSE,0.0135,-0.0138,0.0705,0.97,0.338,0.587,NA
"CHEBI:15444",FALSE,0.0135,-0.26,-0.211,0.429,0.67,0.808,"glucose"
"PF4",FALSE,0.0134,0.284,-0.832,-1.79,0.0825,0.477,NA
"PTPN11",FALSE,0.0133,0.267,-0.0952,-1.59,0.122,0.53,NA
"PPA1",FALSE,0.0132,0.297,-0.0976,-1.3,0.201,0.543,NA
"FGF4",FALSE,0.0132,0.28,-0.0552,-1.87,0.0698,0.464,NA
