"","in_pwy","impact","EMY.p","EMY.FDR","EM_dir.p","MY_dir.p","EM.t","EM.p","MY.t","MY.p","CHEBI"
"CHEBI:17295",FALSE,0.00868,3.45e-05,0.0158,0.0022,0.00587,3.33,0.0022,2.96,0.00587,"phenylalanine"
"ELANE",FALSE,0.00843,0.342,0.933,0.585,0.364,0.552,0.585,0.922,0.364,NA
"LYVE1",FALSE,0.00832,0.0773,0.933,0.235,0.278,-1.21,0.235,-1.1,0.278,NA
"CHEBI:48991",FALSE,0.00831,0.264,0.933,0.0219,0.514,2.41,0.0219,-0.0347,0.973,"7-methylxanthine"
"CHEBI:28645",FALSE,0.00776,0.121,0.933,0.348,0.0767,0.953,0.348,1.83,0.0767,"fructose"
"F9",FALSE,0.00754,0.216,0.933,0.157,0.465,1.45,0.157,0.74,0.465,NA
"CHEBI:17895",FALSE,0.00752,0.000434,0.116,0.0208,0.000464,2.43,0.0208,3.92,0.000464,"tyrosine"
"CHEBI:17712",FALSE,0.00724,0.0237,0.796,0.106,0.154,1.67,0.106,1.46,0.154,"xanthine"
"CHEBI:30805",FALSE,0.0072,0.00812,0.418,0.0901,0.029,1.75,0.0901,2.29,0.029,"laurate (12:0)"
"CHEBI:17351",FALSE,0.0071,0.194,0.933,0.341,0.44,0.967,0.341,0.782,0.44,"linoleate (18:2n6)"
"NPPB",FALSE,0.00704,0.268,0.933,0.503,0.518,0.678,0.503,0.654,0.518,NA
"AKT1",FALSE,0.00691,0.336,0.933,0.352,0.579,0.945,0.352,-0.202,0.841,NA
"ACY1",FALSE,0.00672,0.254,0.933,0.504,0.25,0.676,0.504,1.17,0.25,NA
"CA2",FALSE,0.00672,0.278,0.933,0.527,0.0523,-0.0687,0.946,2.02,0.0523,NA
"CHEBI:17687",FALSE,0.00671,0.183,0.933,0.428,0.0966,0.802,0.428,1.71,0.0966,"glycocholate"
"IL2",FALSE,0.00669,0.264,0.933,0.513,0.287,-0.0338,0.973,1.08,0.287,NA
"IL1A",FALSE,-0.00666,0.832,0.935,0.912,0.168,-1.38,0.176,1.41,0.168,NA
"HMOX2",FALSE,-0.00683,0.729,0.933,0.854,0.156,1.07,0.292,-1.46,0.156,NA
"ADAMTS15",FALSE,-0.00691,0.898,0.943,0.0782,0.948,1.82,0.0782,-1.67,0.105,NA
"CRK",FALSE,-0.00708,0.843,0.935,0.918,0.0597,1.43,0.164,-1.95,0.0597,NA
"EREG",FALSE,-0.00723,0.844,0.935,0.919,0.139,0.103,0.919,1.52,0.139,NA
"ENTPD1",FALSE,-0.00736,0.75,0.933,0.866,0.353,-0.17,0.866,-0.943,0.353,NA
"CHEBI:17154",FALSE,-0.00745,0.658,0.933,0.811,0.271,0.895,0.378,-1.12,0.271,"nicotinamide"
"CCL11",FALSE,-0.00749,0.691,0.933,0.831,0.211,-0.974,0.337,1.28,0.211,NA
"CHEBI:17775",FALSE,-0.00749,0.804,0.933,0.874,0.897,-0.159,0.874,-0.131,0.897,"urate"
"UFC1",FALSE,-0.00754,0.732,0.933,0.131,0.856,1.55,0.131,-1.08,0.288,NA
"HNRNPAB",FALSE,-0.00783,0.738,0.933,0.859,0.132,1.09,0.282,-1.55,0.132,NA
"KYNU",FALSE,-0.00783,0.939,0.961,0.0491,0.969,2.05,0.0491,-1.94,0.0621,NA
"CHEBI:16995",FALSE,-0.00825,0.731,0.933,0.855,0.187,1.08,0.29,-1.35,0.187,"oxalate (ethanedioate)"
"IGF1",FALSE,-0.00834,0.75,0.933,0.866,0.0159,1.13,0.268,-2.55,0.0159,NA
"PGLYRP1",FALSE,-0.00837,0.629,0.933,0.793,0.19,0.827,0.414,-1.34,0.19,NA
"S100A9",FALSE,-0.00847,0.824,0.933,0.31,0.908,1.03,0.31,0.117,0.908,NA
"B2M",FALSE,-0.00892,0.796,0.933,0.286,0.892,-1.09,0.286,-0.137,0.892,NA
"MMP7",FALSE,-0.00892,0.927,0.957,0.0199,0.963,-2.45,0.0199,1.85,0.0739,NA
"PRKCA",FALSE,-0.00911,0.807,0.933,0.198,0.899,1.32,0.198,0.129,0.899,NA
"HBEGF",FALSE,-0.00915,0.658,0.933,0.811,0.105,0.896,0.377,-1.67,0.105,NA
"MB",FALSE,-0.00921,0.681,0.933,0.187,0.825,-1.35,0.187,0.949,0.35,NA
"RAC1",FALSE,-0.00926,0.769,0.933,0.877,0.193,1.18,0.246,-1.33,0.193,NA
"CLU",FALSE,-0.00949,0.858,0.935,0.0529,0.926,2.01,0.0529,-1.48,0.148,NA
"IL13",FALSE,-0.00968,0.782,0.933,0.884,0.201,1.22,0.232,-1.31,0.201,NA
"PRL",FALSE,-0.00973,0.969,0.98,0.984,0.0762,-0.0197,0.984,-1.83,0.0762,NA
"CA3",FALSE,-0.00979,0.805,0.933,0.897,0.0683,1.29,0.206,-1.89,0.0683,NA
"AKR1A1",FALSE,-0.00993,0.811,0.933,0.9,0.0571,1.31,0.199,-1.98,0.0571,NA
"CYP3A4",FALSE,-0.0101,0.733,0.933,0.197,0.856,1.32,0.197,-1.08,0.288,NA
"FTH1",FALSE,-0.0109,0.688,0.933,0.829,0.136,0.966,0.342,-1.53,0.136,NA
"LPO",FALSE,-0.011,0.69,0.933,0.831,0.0167,-0.971,0.339,2.53,0.0167,NA
"LTF",FALSE,-0.0113,0.74,0.933,0.86,0.116,1.1,0.28,-1.62,0.116,NA
"CD40LG",FALSE,-0.0114,0.726,0.933,0.852,0.0988,1.06,0.296,-1.7,0.0988,NA
"PRDX6",FALSE,-0.0114,0.73,0.933,0.854,0.156,1.07,0.291,-1.45,0.156,NA
"CHEBI:30746",FALSE,-0.0118,0.993,0.997,0.486,0.997,-0.706,0.486,-0.00431,0.997,"benzoate"
"ANGPT2",FALSE,-0.0119,0.929,0.957,0.0197,0.964,-2.46,0.0197,1.86,0.0725,NA
"ETHE1",FALSE,-0.0123,0.808,0.933,0.899,0.092,-1.3,0.203,1.74,0.092,NA
"ICAM1",FALSE,-0.0128,0.874,0.935,0.119,0.935,-1.6,0.119,1.56,0.13,NA
"MMP13",FALSE,-0.013,0.976,0.985,0.988,0.0144,-2.36,0.0243,2.59,0.0144,NA
"MAP2K1",FALSE,-0.0131,0.933,0.96,0.966,0.267,-0.0431,0.966,-1.13,0.267,NA
"HSP90AA1",FALSE,-0.0131,0.855,0.935,0.106,0.925,1.67,0.106,-1.47,0.151,NA
"HBA1",FALSE,-0.0132,0.783,0.933,0.885,0.173,1.22,0.23,-1.4,0.173,NA
"HSD17B10",FALSE,-0.0132,0.788,0.933,0.887,0.184,1.24,0.225,-1.36,0.184,NA
"PRSS1",FALSE,-0.0135,0.998,0.999,0.999,0.35,0.00127,0.999,0.949,0.35,NA
"PTGS2",FALSE,-0.0142,0.92,0.954,0.454,0.959,0.758,0.454,0.0517,0.959,NA
"ARG1",FALSE,-0.0143,0.937,0.961,0.968,0.0603,-1.92,0.0639,1.95,0.0603,NA
"CA9",FALSE,-0.0143,0.916,0.952,0.0271,0.957,-2.32,0.0271,1.77,0.0862,NA
"AKR7A2",FALSE,-0.0146,0.771,0.933,0.878,0.127,1.19,0.244,-1.57,0.127,NA
"NAMPT",FALSE,-0.0148,0.929,0.957,0.964,0.0516,1.86,0.0723,-2.03,0.0516,NA
"ADAM12",FALSE,-0.0148,0.95,0.967,0.975,0.698,0.0319,0.975,0.392,0.698,NA
"GAPDH",FALSE,-0.0162,0.838,0.935,0.15,0.916,1.47,0.15,-1.41,0.169,NA
"EPO",FALSE,-0.0168,0.885,0.94,0.941,0.06,-0.075,0.941,-1.95,0.06,NA
"TNF",FALSE,-0.0169,0.886,0.941,0.941,0.0456,-1.61,0.117,2.08,0.0456,NA
"CHEBI:17033",FALSE,-0.0185,0.717,0.933,0.3,0.847,-1.05,0.3,-0.195,0.847,"bilirubin (E,E)*"
"FGG",FALSE,-0.0197,0.991,0.996,0.111,0.995,-1.64,0.111,-0.0058,0.995,NA
"IDUA",FALSE,-0.0198,0.698,0.933,0.836,0.288,-0.992,0.329,1.08,0.288,NA
"STC1",FALSE,-0.0204,0.895,0.943,0.946,0.057,-1.65,0.108,1.98,0.057,NA
"MDH1",FALSE,-0.0223,0.832,0.935,0.912,0.13,1.38,0.176,-1.55,0.13,NA
"TPO",FALSE,-0.0487,0.998,0.999,0.999,0.0504,-0.00142,0.999,-2.04,0.0504,NA
"SOD1",TRUE,-0.906,0.729,0.933,0.854,0.0604,1.07,0.292,-1.95,0.0604,NA
"CAT",TRUE,-1.03,0.768,0.933,0.877,0.124,1.18,0.247,-1.58,0.124,NA
"CHEBI:17627",TRUE,-1.2,0.812,0.933,0.901,0.0738,1.31,0.198,-1.85,0.0738,"heme"
