"","RYGBvsDWMat3mo.sig","RYGBvsDWMat12mo.sig","RYGBvsDWMat24mo.sig","RYGBvsDWMat36mo.sig","SeqId","SomaId","TargetFullName","Target","UniProt","EntrezGeneID","EntrezGeneSymbol"
"SL003643",0,0,0,1,"4911-49_2","SL003643","Glutathione S-transferase P","Glutathione S-transferase Pi","P09211","2950","GSTP1"
"SL008588",0,1,0,0,"3642-4_1","SL008588","SLAM family member 5","SLAF5","Q9UIB8","8832","CD84"
"SL004060",0,0,0,-1,"3611-70_4","SL004060","Endothelin-converting enzyme 1","Endothelin-converting enzyme 1","P42892","1889","ECE1"
"SL007181",0,0,-1,0,"5260-80_3","SL007181","Non-receptor tyrosine-protein kinase TYK2","TYK2","P29597","7297","TYK2"
"SL000049",0,-1,0,0,"2700-56_2","SL000049","Vitamin K-dependent protein S","Protein S","P07225","5627","PROS1"
"SL010450",0,0,1,0,"3292-75_1","SL010450","CD48 antigen","CD48","P09326","962","CD48"
"SL012740",0,0,-1,0,"4533-76_2","SL012740","A disintegrin and metalloproteinase with thrombospondin motifs 15","ATS15","Q8TE58","170689","ADAMTS15"
"SL001753",0,0,-1,0,"4464-10_2","SL001753","Sialoadhesin","Sialoadhesin","Q9BZZ2","6614","SIGLEC1"
"SL000460",0,0,0,-1,"4916-2_1","SL000460","Immunoglobulin D","IgD","P01880","3495 50802 3535","IGHD;;IGK@;IGL@"
"SL004304",0,0,-1,0,"3766-51_4","SL004304","Syntaxin-1A","STX1a","Q16623","6804","STX1A"
"SL000668",0,0,-1,0,"2973-15_2","SL000668","Platelet glycoprotein 4","CD36 ANTIGEN","P16671","948","CD36"
"SL003522",0,0,-1,0,"4983-6_1","SL003522","Endoplasmic reticulum resident protein 29","ERP29","P30040","10961","ERP29"
"SL004920",0,0,0,1,"4203-50_2","SL004920","Cofilin-1","Cofilin-1","P23528","1072","CFL1"
"SL006777",-1,0,0,0,"3367-8_3","SL006777","Fetuin-B","FETUB","Q9UGM5","26998","FETUB"
"SL009790",0,0,0,1,"5494-52_3","SL009790","Small nuclear ribonucleoprotein F","RUXF","P62306","6636","SNRPF"
"SL010288",-1,0,0,0,"3352-80_3","SL010288","Carbonic anhydrase 6","Carbonic anhydrase 6","P23280","765","CA6"
"SL005152",0,0,-1,0,"3079-62_2","SL005152","Retinoic acid receptor responder protein 2","TIG2","Q99969","5919","RARRES2"
"SL007429",1,0,0,0,"5080-131_3","SL007429","Transmembrane glycoprotein NMB","GPNMB","Q14956","10457","GPNMB"
"SL007195",0,0,-1,0,"5317-3_3","SL007195","CD70 antigen","CD70","P32970","970","CD70"
"SL000582",0,0,-1,0,"3472-40_2","SL000582","Baculoviral IAP repeat-containing protein 5","Survivin","O15392","332","BIRC5"
"SL006892",0,0,-1,0,"3341-33_4","SL006892","Tyrosine-protein kinase ABL1","ABL1","P00519","25","ABL1"
