"","ADIPOQ","FGF19","SHBG","IGFBP2","IBSP","MMP12","IGFBP1","OMD","CFL1","CKM","CRP","C5","INS","LEP","TYK2","IGHD;;IGK@;IGL@","ASAH2","CNDP1","GHR"
"5alpha-androstan-3alpha,17beta-diol monosulfate (1)",0.0391,-0.261,-0.262,0.0117,-0.264,-0.0802,0.179,-0.059,0.0641,0.233,0.215,0.0687,0.185,0.191,-0.0186,0.185,0.393,0.419,0.408
"5alpha-androstan-3beta,17beta-diol monosulfate (2)",-0.0542,-0.241,-0.276,-0.219,-0.294,-0.259,0.129,-0.198,0.0226,0.136,0.278,-0.0696,0.0737,0.199,0.194,0.151,0.277,0.329,0.374
"4-androsten-3beta,17beta-diol monosulfate (1)",-0.123,-0.29,-0.293,-0.474,-0.389,-0.338,-0.195,-0.23,-0.249,0.18,0.249,-0.0149,0.143,0.178,0.372,0.441,0.377,0.558,0.634
"eicosapentaenoate (EPA; 20:5n3)",-0.0161,-0.146,-0.208,-0.268,-0.366,-0.317,-0.11,-0.263,-0.164,0.036,0.327,0.191,0.0799,0.163,0.148,0.187,0.287,0.472,0.441
"linolenate [alpha or gamma; (18:3n3 or 6)]",0.000324,-0.246,-0.199,-0.267,-0.359,-0.328,-0.185,-0.33,-0.387,-0.102,0.0602,0.0517,0.041,-0.0424,0.197,0.128,0.253,0.379,0.34
"stearidonate (18:4n3)",-0.138,-0.243,-0.258,-0.403,-0.478,-0.381,-0.339,-0.298,-0.25,0.0508,0.119,0.219,0.101,0.169,0.23,0.108,0.487,0.655,0.558
"isovalerate",-0.176,-0.183,-0.389,-0.436,-0.454,-0.38,-0.169,-0.208,0.0032,0.376,0.358,0.0829,-0.0297,0.232,0.335,0.165,0.131,0.375,0.386
"isovalerylcarnitine",-0.278,-0.369,-0.497,-0.528,-0.606,-0.449,-0.31,-0.134,0.0479,0.528,0.113,-0.0152,0.0524,0.17,0.307,0.186,0.433,0.531,0.543
"beta-hydroxyisovalerate",-0.288,-0.223,-0.434,-0.47,-0.453,-0.23,-0.328,-0.135,-0.0198,0.101,0.182,0.171,0.353,0.461,0.211,0.302,0.362,0.713,0.551
"creatine",-0.221,-0.541,-0.543,-0.678,-0.559,-0.559,-0.291,-0.337,-0.204,0.23,0.0441,-0.158,-0.0931,0.0411,0.44,0.265,0.319,0.624,0.439
"N-acetylleucine",-0.506,-0.323,-0.391,-0.502,-0.549,-0.357,-0.314,-0.406,0.0424,0.421,0.212,0.0271,-0.156,-0.0908,0.283,0.0776,0.123,0.387,0.301
"3-(4-hydroxyphenyl)lactate",-0.358,-0.102,-0.22,-0.338,-0.26,-0.207,-0.16,-0.0541,-0.0538,0.239,0.316,0.277,0.107,0.236,0.154,0.136,0.23,0.491,0.356
"kynurenate",-0.154,-0.236,-0.462,-0.59,-0.648,-0.565,-0.559,-0.305,0.0306,0.162,0.00667,0.23,0.0158,0.234,0.273,0.0375,0.173,0.467,0.329
"xanthurenate",-0.131,-0.171,-0.403,-0.626,-0.58,-0.431,-0.446,-0.223,-0.0292,0.192,0.129,0.205,0.1,0.344,0.265,0.197,0.319,0.686,0.487
"choline",-0.0826,-0.21,-0.374,-0.202,-0.55,-0.411,-0.269,-0.245,0.037,0.118,-0.183,0.241,0.184,0.252,0.0904,-0.0771,0.273,0.454,0.334
"3-hydroxyisobutyrate",-0.157,-0.325,-0.286,-0.367,-0.437,-0.405,-0.262,-0.0699,0.253,0.234,-0.024,0.0577,0.269,0.212,0.0979,0.126,0.452,0.506,0.457
"retinol (Vitamin A)",0.0784,-0.137,-0.118,-0.203,-0.457,-0.259,-0.357,-0.294,0.292,0.0921,-0.18,0.34,0.0891,0.0504,-0.14,-0.0924,0.408,0.529,0.325
"gamma-glutamyltryptophan",0.0378,-0.31,-0.433,-0.235,-0.484,-0.307,-0.274,-0.247,0.261,0.119,-0.039,0.00125,0.15,0.169,0.0876,-0.119,0.0154,0.261,0.225
"homostachydrine*",0.231,-0.0544,-0.211,-0.0908,-0.349,-0.332,-0.148,0.00871,0.235,0.0296,-0.209,0.0536,0.105,0.143,-0.194,-0.0878,0.0112,0.108,0.0408
"paraxanthine",0.323,-0.204,-0.348,-0.235,-0.383,-0.286,-0.23,-0.0562,0.353,0.379,-0.126,-0.0925,0.0249,0.11,0.141,-0.00178,0.101,0.191,0.18
"theophylline",0.386,-0.233,-0.286,-0.203,-0.332,-0.213,-0.261,-0.026,0.464,0.365,-0.162,-0.0523,0.047,0.12,0.0569,0.0073,0.147,0.154,0.178
"N-acetyltyrosine",-0.172,-0.439,-0.369,-0.32,-0.323,-0.512,-0.0433,-0.0787,0.127,0.267,0.102,0.0229,-0.0784,-0.0501,0.232,0.042,0.0604,0.166,0.229
"N-alpha-acetylornithine",-0.247,-0.296,-0.444,-0.382,-0.425,-0.47,-0.0346,-0.336,0.145,0.296,-0.09,0.0405,-0.0636,-0.0518,0.238,-0.145,-0.0285,0.0993,0.0443
"tryptophan betaine ",-0.214,0.047,-0.163,-0.0352,-0.176,-0.194,-0.15,0.006,0.0128,0.0641,-0.0879,0.173,-0.025,0.161,0.105,-0.136,-0.0605,0.0725,-0.14
"2-methylmalonyl carnitine",0.117,-0.173,-0.21,-0.0766,-0.245,-0.195,-0.248,0.126,0.0773,0.341,-0.128,0.254,0.18,0.0181,-0.034,0.136,0.431,0.281,0.332
"1-stearoyl-2-oleoyl-GPE (18:0/18:1)",-0.0259,-0.372,-0.284,-0.29,-0.358,-0.402,-0.314,-0.192,0.394,0.455,0.0245,-0.00863,-0.175,-0.0934,0.231,-0.142,0.332,0.261,0.35
"propionylcarnitine",-0.0726,-0.429,-0.431,-0.491,-0.546,-0.542,-0.538,-0.304,-0.0043,0.269,-0.223,-0.0917,-0.268,-0.0627,0.436,-0.0518,0.332,0.419,0.32
"1-stearoyl-2-oleoyl-GPS (18:0/18:1)",-0.167,-0.352,-0.408,-0.427,-0.516,-0.514,-0.316,-0.466,0.59,0.218,-0.00206,-0.0425,-0.17,-0.15,0.0578,-0.301,-0.106,0.0315,0.0348
"betonicine",0.249,-0.262,-0.224,-0.301,-0.398,-0.371,-0.403,-0.255,0.268,0.155,-0.095,-0.0756,-0.163,-0.0303,-0.0903,0.0482,0.155,0.118,0.0608
"1-linolenoyl-GPC (18:3)*",0.215,-0.147,-0.0595,-0.265,-0.23,-0.0899,-0.222,0.142,0.00709,0.144,-0.237,0.0532,0.0663,0.247,0.0764,0.337,0.55,0.441,0.434
"1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*",0.237,-0.0939,3.05e-05,-0.175,-0.324,-0.163,-0.224,0.113,0.301,0.221,-0.272,-0.0464,-0.0126,0.154,-0.0167,0.145,0.435,0.275,0.33
"N-acetylcitrulline",0.0807,-0.133,-0.194,-0.322,-0.206,-0.249,-0.24,0.131,-0.0591,0.101,-0.139,0.106,0.125,0.337,-0.00955,0.119,0.34,0.36,0.212
"1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*",0.216,-0.337,-0.223,-0.317,-0.178,-0.247,-0.503,0.165,-0.0734,0.144,-0.286,-0.0094,0.012,0.105,0.173,0.169,0.374,0.264,0.2
"1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*",0.298,-0.11,-0.115,-0.0917,-0.124,-0.196,-0.336,0.204,0.0805,0.0472,-0.342,0.02,-0.026,0.0393,-0.13,0.00887,0.206,0.0506,-0.049
"1,2-dilinoleoyl-GPC (18:2/18:2)",0.223,-0.279,-0.0874,-0.266,-0.322,-0.267,-0.473,0.0262,0.0666,0.0783,-0.387,0.00986,-0.0363,0.0363,0.0104,0.0885,0.435,0.255,0.186
"eicosanodioate",0.295,-0.199,-0.102,-0.158,-0.177,-0.241,-0.301,0.159,0.0997,0.0551,-0.266,0.184,0.168,0.317,0.163,0.0403,0.457,0.285,0.336
"gamma-CEHC",0.314,-0.0748,-0.115,-0.143,-0.29,-0.186,-0.365,0.0803,-0.0861,0.0787,-0.281,0.376,0.142,0.307,0.066,0.0632,0.444,0.435,0.251
"gamma-CEHC glucuronide*",0.334,-0.0513,-0.0301,-0.18,-0.351,-0.202,-0.37,-0.0508,-0.0408,0.0898,-0.243,0.393,0.0523,0.207,0.158,0.0699,0.426,0.495,0.35
"prolylglycine",0.138,-0.275,-0.109,0.00204,-0.0793,-0.102,-0.138,0.185,-0.028,0.0732,-0.261,0.252,0.263,0.18,0.00556,0.0233,0.389,0.371,0.182
"hydantoin-5-propionic acid",-0.186,-0.291,-0.264,-0.22,-0.226,-0.173,-0.377,-0.0619,0.29,0.247,0.0364,0.258,0.118,0.0816,0.0543,-0.0557,0.117,0.315,0.241
"pyrraline",-0.136,-0.266,-0.268,-0.229,-0.354,-0.304,-0.353,-0.175,0.142,0.203,0.0186,0.225,-0.0162,0.0977,0.0694,0.00556,0.2,0.236,0.196
"4-hydroxychlorothalonil",0.0427,0.176,0.0713,0.15,0.00475,0.044,0.0123,-0.17,0.115,-0.125,0.0196,0.299,0.134,0.021,-0.271,-0.415,0.0215,0.207,-0.158
"2-acetamidophenol sulfate",-0.024,-0.189,-0.195,-0.137,-0.146,-0.0865,-0.153,-0.124,0.288,0.167,0.145,0.0165,0.141,0.0266,-0.263,-0.00833,0.142,0.228,0.0251
"2-aminophenol sulfate",0.0462,-0.231,-0.214,-0.0713,-0.171,-0.148,-0.108,0.053,0.303,0.152,-0.126,0.161,0.0794,0.0444,-0.128,-0.224,0.361,0.312,0.114
"glucuronate",0.00894,-0.0878,-0.179,-0.0726,-0.387,-0.118,-0.154,-0.224,0.158,0.297,-0.0964,0.203,0.045,0.0182,0.0905,-0.178,0.136,0.368,0.0971
"alpha-CEHC glucuronide*",0.04,-0.119,-0.125,-0.0947,-0.285,-0.0529,-0.0748,-0.154,0.264,0.267,0.145,0.213,0.00311,0.0305,-0.203,-0.0511,0.298,0.434,0.108
"alpha-CEHC sulfate",0.0345,-0.0523,-0.0195,0.057,-0.0926,-0.0739,-0.0522,-0.0539,0.0289,0.174,0.0221,0.12,-0.0515,-0.0436,-0.168,-0.0328,0.211,0.308,-0.0626
"N-methylpipecolate",0.0938,0.0471,-0.0468,0.0673,-0.247,-0.115,0.0599,-0.138,0.373,0.0989,0.0587,0.362,0.208,0.181,-0.209,-0.302,0.0589,0.24,0.126
"picolinate",-0.0797,-0.0345,-0.222,-0.356,-0.426,-0.324,-0.333,-0.385,0.199,0.151,0.127,-0.107,-0.107,0.134,0.188,-0.112,-0.0324,0.176,0.0198
"3-phenylpropionate (hydrocinnamate)",-0.226,0.316,0.251,0.416,0.277,0.205,0.181,0.0551,-0.036,-0.255,-0.0949,0.0377,-0.174,-0.336,-0.207,-0.334,-0.352,-0.375,-0.563
"cinnamoylglycine",-0.0695,0.25,0.204,0.387,0.18,0.103,0.124,0.0321,-0.0651,-0.209,-0.0912,-0.00377,-0.285,-0.471,-0.126,-0.244,-0.423,-0.392,-0.539
"glycochenodeoxycholate sulfate",0.0654,0.468,0.303,0.341,0.277,0.331,0.309,0.257,-0.106,-0.327,0.224,0.28,-0.0303,0.135,-0.291,0.0245,-0.179,-0.223,-0.227
"glycohyocholate",0.178,0.254,0.154,0.177,0.164,0.113,0.138,0.273,-0.112,-0.276,0.202,0.24,0.0764,0.219,-0.204,0.218,-0.104,-0.0673,0.0249
"4-vinylphenol sulfate",0.00916,-0.234,-0.247,-0.227,-0.327,-0.371,-0.272,-0.0217,0.0789,-0.027,-0.235,0.178,0.088,0.0015,0.0505,-0.106,0.113,0.117,-0.0607
"citrulline",0.0983,0.0933,0.0924,0.114,0.164,0.0395,-0.0425,0.272,0.0704,-0.329,-0.292,0.139,0.131,0.182,-0.389,-0.216,-0.0844,-0.135,-0.266
"---",,,,,,,,,,,,,,,,,,,
"NOTE: p=0.05 corresponds to |r|=0.33 & FDR=0.24",,,,,,,,,,,,,,,,,,,
