"","RYGBvsDWMat3mo.sig","RYGBvsDWMat12mo.sig","RYGBvsDWMat36mo.sig","RYGBvsDWMat3mo_bmi.sig","RYGBvsDWMat12mo_bmi.sig","RYGBvsDWMat36mo_bmi.sig","BIOCHEMICAL","SUPER_PATHWAY","SUB_PATHWAY","COMP_ID","PLATFORM","CHEMICAL_ID","RI","MASS","CAS","PUBCHEM","CHEMSPIDER","KEGG","HMDB","CHEBI"
"C1549",-1,0,0,-1,0,0,"3-hydroxyisobutyrate","Amino Acid","Leucine, Isoleucine and Valine Metabolism",1549,"LC/MS Polar",111,1619.1,103.04007,"2068-83-9","87",10140307,"C06001","HMDB00336","CHEBI:37373"
"C1806",-1,0,0,-1,0,0,"retinol (Vitamin A)","Cofactors and Vitamins","Vitamin A Metabolism",1806,"LC/MS Pos Late",498,1636,269.22639,"68-26-8","445354",393012,"C00473","HMDB00305","CHEBI:17336"
"C1417",-1,0,0,-1,0,0,"kynurenate","Amino Acid","Tryptophan Metabolism",1417,"LC/MS Neg",98,2224,188.03531,"492-27-3","3845",3712,"C01717","HMDB00715","CHEBI:18344"
"C32452",-1,0,0,-1,0,0,"propionylcarnitine","Lipid","Fatty Acid Metabolism (also BCAA Metabolism)",32452,"LC/MS Pos Early",100001162,2590,218.13869,"17298-37-2","107738",96904,"C03017","HMDB00824","CHEBI:28867"
"C27710",0,1,1,0,0,0,"N-acetylglycine","Amino Acid","Glycine, Serine and Threonine Metabolism",27710,"LC/MS Neg",100001006,731,116.03531,"543-24-8","10972",10507,"","HMDB00532",""
"C40730",1,0,0,1,0,0,"imidazole propionate","Amino Acid","Histidine Metabolism",40730,"LC/MS Pos Early",100003434,2263,141.06586,"1074-59-5","70630",63798,"","HMDB02271",""
"C2132",0,1,0,0,1,0,"citrulline","Amino Acid","Urea cycle; Arginine and Proline Metabolism",2132,"LC/MS Pos Early",391,1520,176.10297,"372-75-8","9750",810,"C00327","HMDB00904","CHEBI:16349"
"C27718",-1,0,0,-1,0,0,"creatine","Amino Acid","Creatine Metabolism",27718,"LC/MS Pos Early",1221,1947,132.07676,"57-00-1","586",566,"C00300","HMDB00064","CHEBI:16919"
"C42448",-1,0,0,-1,0,0,"1-stearoyl-2-oleoyl-GPE (18:0/18:1)","Lipid","Phospholipid Metabolism",42448,"LC/MS Pos Late",100001856,2858,746.56944,"","",NA,"","",""
"C1587",-1,0,0,-1,0,0,"N-acetylleucine","Amino Acid","Leucine, Isoleucine and Valine Metabolism",1587,"LC/MS Neg",1082,2400,172.09791,"1188-21-2","70912",64075,"C02710","HMDB11756",""
"C43266",-1,0,0,-1,0,0,"2-aminophenol sulfate","Xenobiotics","Chemical",43266,"LC/MS Neg",100004322,1677,188.0023,"","181670",158022,"","HMDB61116",""
"C35482",-1,0,0,-1,0,0,"2-methylmalonyl carnitine","Lipid","Fatty Acid Synthesis",35482,"LC/MS Pos Early",100001596,2440,262.12852,"149181-64-6","53481628",21403178,"","HMDB13133",""
"C42574",0,1,0,0,1,0,"glycohyocholate","Lipid","Secondary Bile Acid Metabolism",42574,"LC/MS Neg",100004083,5020,464.30176,"","",NA,"","",""
"C43530",1,0,0,1,0,0,"N-acetyl-cadaverine","Amino Acid","Lysine Metabolism",43530,"LC/MS Pos Early",100002249,2385,145.13354,"32343-73-0","",NA,"","",""
"C12129",-1,0,0,-1,0,0,"beta-hydroxyisovalerate","Amino Acid","Leucine, Isoleucine and Valine Metabolism",12129,"LC/MS Neg",1442,1027,117.05572,"625-08-1","69362",62571,"","HMDB00754","CHEBI:37084"
"C34035",0,-1,0,0,-1,0,"linolenate [alpha or gamma; (18:3n3 or 6)]","Lipid","Polyunsaturated Fatty Acid (n3 and n6)",34035,"LC/MS Neg",100001337,5450,277.2173,"","5280934",4444437,"C06426","HMDB03073","CHEBI:28661"
"C15443",-1,0,0,-1,0,0,"glucuronate","Carbohydrate","Aminosugar Metabolism",15443,"LC/MS Polar",100000257,3233.3,193.03537,"207300-70-7","444791",58552,"C00191","HMDB00127","CHEBI:47953"
"C48580",-1,0,0,-1,0,0,"2-acetamidophenol sulfate","Xenobiotics","Drug",48580,"LC/MS Neg",100006190,2251,230.01286,"40712-60-5","181671",158023,"","",""
"C1638",0,0,0,0,1,1,"arginine","Amino Acid","Urea cycle; Arginine and Proline Metabolism",1638,"LC/MS Pos Early",231,2825,175.11896,"1119-34-2","232",227,"C00062","HMDB00517","CHEBI:16467"
"C39346",-1,0,0,-1,0,0,"alpha-CEHC glucuronide*","Cofactors and Vitamins","Tocopherol Metabolism",39346,"LC/MS Neg",100003101,2616,453.17662,"477200-36-5","",NA,"","",""
"C38306",0,-1,0,0,-1,0,"metformin","Xenobiotics","Drug",38306,"LC/MS Pos Early",100002405,2817,130.10873,"1115-70-4","4091",3949,"C07151","HMDB01921","CHEBI:6801"
"C542",1,0,0,1,0,0,"3-hydroxybutyrate (BHBA)","Lipid","Ketone Bodies",542,"LC/MS Polar",254,1443.3,103.04007,"625-72-9","441",428,"C01089","HMDB00357","CHEBI:20067"
"C48428",-1,0,0,-1,0,0,"pyrraline","Xenobiotics","Food Component/Plant",48428,"LC/MS Neg",100001767,2304,253.11938,"74509-14-1","",19980286,"","",""
"C40703",-1,0,0,-1,0,0,"prolylglycine","Peptide","Dipeptide",40703,"LC/MS Pos Early",100003674,2136,173.09207,"2578-57-6","7408076;6426709",4932143,"","","CHEBI:73594"
"C52603",-1,0,0,-1,0,0,"1,2-dilinoleoyl-GPC (18:2/18:2)","Lipid","Phospholipid Metabolism",52603,"LC/MS Pos Late",100008903,2006,782.56944,"998-06-1","5288075",4450312,"","","CHEBI:42027"
"C40473",-1,0,0,-1,0,0,"hydantoin-5-propionic acid","Amino Acid","Histidine Metabolism",40473,"LC/MS Polar",100002514,2080,171.04113,"5624-26-0","782",761,"C05565","HMDB01212",""
"C38100",-1,0,0,-1,0,0,"betonicine","Xenobiotics","Food Component/Plant",38100,"LC/MS Pos Early",100002153,1012,160.09682,"515-25-3","164642",144333,"C08269","HMDB29412",""
"C36098",-1,0,0,-1,0,0,"4-vinylphenol sulfate","Xenobiotics","Benzoate Metabolism",36098,"LC/MS Neg",100001755,3320,199.00705,"2628-17-3","6426766",4932200,"C05627","HMDB04072",""
"C39379",1,0,0,1,0,0,"glycoursodeoxycholate","Lipid","Secondary Bile Acid Metabolism",39379,"LC/MS Neg",100002911,5033,448.30684,"64480-66-6","12310288",19973534,"","HMDB00708",""
"C43264",1,0,0,1,0,0,"3-hydroxybutyrylcarnitine (1)","Lipid","Fatty Acid Metabolism(Acyl Carnitine)",43264,"LC/MS Pos Early",100003926,2400,248.14925,"","53481617",NA,"","HMDB13127",""
"C47153",1,0,0,1,0,0,"sphingomyelin (d18:1/24:1, d18:2/24:0)*","Lipid","Sphingolipid Metabolism",47153,"LC/MS Pos Late",100005986,3033,813.68441,"94359-13-4","",24846874,"","",""
"C52677",-1,0,0,-1,0,0,"1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*","Lipid","Plasmalogen",52677,"LC/MS Pos Late",100009069,2351,700.52757,"","",24769229,"","",""
"C32984",-1,0,0,-1,0,0,"N-alpha-acetylornithine","Amino Acid","Urea cycle; Arginine and Proline Metabolism",32984,"LC/MS Pos Early",100000285,2000,175.10772,"1572591","439232",388369,"C00437","HMDB03357","CHEBI:16543"
"C19265",-1,0,0,-1,0,0,"1-stearoyl-2-oleoyl-GPS (18:0/18:1)","Lipid","Phosphatidylserine (PS)",19265,"LC/MS Pos Late",100000639,3000,790.55926,"","9547087",7826037,"","",""
"C47666",-1,0,0,-1,0,0,"alpha-CEHC sulfate","Cofactors and Vitamins","Tocopherol Metabolism",47666,"LC/MS Neg",100005972,3090,357.10134,"","",NA,"","",""
"C37184",-1,0,0,-1,0,0,"5alpha-androstan-3alpha,17beta-diol disulfate","Lipid","Steroid",37184,"LC/MS Neg",100002017,4275,225.06965,"","",NA,"","",""
"C53176",-1,0,0,-1,0,0,"1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*","Lipid","Phospholipid Metabolism",53176,"LC/MS Pos Late",100009343,1939,780.55378,"","",24766802,"","",""
"C22001",0,-1,0,0,-1,0,"3-hydroxyoctanoate","Lipid","Fatty Acid, Monohydroxy",22001,"LC/MS Neg",100000773,3446,159.10266,"88930-08-9","26613",24791,"","HMDB01954","CHEBI:37098"
"C34428",0,0,0,0,1,1,"1-palmitoyl-GPA (16:0)","Lipid","Lysolipid",34428,"LC/MS Neg",100001445,5600,409.23606,"17618-08-5","6419701",4925335,"C04036","HMDB00327","CHEBI:15799"
"C33009",-1,0,0,-1,0,0,"homostachydrine*","Xenobiotics","Food Component/Plant",33009,"LC/MS Pos Early",100001550,1750,158.11756,"1195-94-4","441447",390180,"C08283","HMDB33433",""
"C47101",-1,0,0,-1,0,0,"N-methylpipecolate","Xenobiotics","Chemical",47101,"LC/MS Pos Early",100005383,1932,144.10191,"41447-17-0","11862129;11286529",9461516,"","",""
"C32197",0,-1,0,0,0,0,"3-(4-hydroxyphenyl)lactate","Amino Acid","Phenylalanine and Tyrosine Metabolism",32197,"LC/MS Neg",240,1379,181.05063,"6482-98-0","9378",9010,"C03672","HMDB00755",""
"C46225",0,1,0,0,0,0,"pyroglutamine*","Amino Acid","Glutamate Metabolism",46225,"LC/MS Pos Early",100001540,1900,129.06586,"2353-44-8","134508",118562,"","",""
"C27672",0,1,0,0,0,0,"3-indoxyl sulfate","Amino Acid","Tryptophan Metabolism",27672,"LC/MS Neg",100000467,2222.2,212.0023,"2642-37-7","10258",9840,"","HMDB00682","CHEBI:43355"
"C18467",0,-1,0,0,0,0,"eicosapentaenoate (EPA; 20:5n3)","Lipid","Polyunsaturated Fatty Acid (n3 and n6)",18467,"LC/MS Neg",2050,5450,301.2173,"10-2005-9;10417-94-4","446284",393682,"C06428","HMDB01999","CHEBI:28364"
"C48698",0,1,0,0,0,0,"6-hydroxyindole sulfate","Xenobiotics","Chemical",48698,"LC/MS Neg",100006260,2498,212.0023,"","",NA,"","",""
"C48441",0,0,-1,0,0,0,"4-hydroxychlorothalonil","Xenobiotics","Chemical",48441,"LC/MS Neg",100006082,4427,244.90817,"28343-61-5","34217",31530,"","",""
"C52453",0,0,1,0,0,0,"1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*","Lipid","Phospholipid Metabolism",52453,"LC/MS Pos Late",100008981,2165,784.58509,"","",NA,"","",""
"C43255",0,1,0,0,0,0,"N-acetyl-1-methylhistidine*","Amino Acid","Histidine Metabolism",43255,"LC/MS Pos Early",100004299,2100,212.1028,"","",NA,"","",""
"C37211",0,-1,0,0,0,0,"4-androsten-3beta,17beta-diol monosulfate (1)","Lipid","Steroid",37211,"LC/MS Neg",100002028,4500,369.17411,"521-17-5","",NA,"","HMDB03818","CHEBI:2710"
"C1508",0,0,0,1,0,0,"pantothenate","Cofactors and Vitamins","Pantothenate and CoA Metabolism",1508,"LC/MS Neg",1024,1498.7,218.10339,"137-08-6","6613",6361,"C00864","HMDB00210","CHEBI:7916"
"C37192",0,-1,0,0,0,0,"5alpha-androstan-3beta,17beta-diol monosulfate (2)","Lipid","Steroid",37192,"LC/MS Neg",100002024,4685,371.18976,"","",NA,"","",""
"C37186",0,-1,0,0,0,0,"5alpha-androstan-3alpha,17beta-diol monosulfate (1)","Lipid","Steroid",37186,"LC/MS Neg",100002018,4925,371.18976,"","",NA,"","",""
"C41220",0,0,1,0,0,0,"2-stearoyl-GPE (18:0)*","Lipid","Lysolipid",41220,"LC/MS Neg",100003901,6350,480.30956,"","",24769218,"","",""
"C52281",0,-1,0,0,0,0,"2-hydroxybutyrate/2-hydroxyisobutyrate","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism",52281,"LC/MS Polar",100008928,1258,103.04006,"","",NA,"","",""
"C37207",0,-1,0,0,0,0,"4-androsten-3alpha,17alpha-diol monosulfate (2)","Lipid","Steroid",37207,"LC/MS Neg",100002026,4712,369.17411,"","",NA,"","",""
"C15958",0,1,0,0,0,0,"phenylacetate","Amino Acid","Phenylalanine and Tyrosine Metabolism",15958,"LC/MS Neg",100000011,2150,135.04515,"103-82-2","999",10181341,"C07086","HMDB00209","CHEBI:30745"
"C15749",0,1,0,0,0,0,"3-phenylpropionate (hydrocinnamate)","Amino Acid","Phenylalanine and Tyrosine Metabolism",15749,"LC/MS Neg",100000010,2860,149.0608,"501-52-0","107",10181339,"C05629","HMDB00764",""
"C1121",0,0,0,0,-1,0,"margarate (17:0)","Lipid","Long Chain Fatty Acid",1121,"LC/MS Neg",891,5731,269.2486,"506-12-7","10465",10033,"","HMDB02259",""
"C1512",-1,0,0,0,0,0,"picolinate","Amino Acid","Tryptophan Metabolism",1512,"LC/MS Pos Early",1022,910,124.03931,"98-98-6","1018",993,"C10164","HMDB02243","CHEBI:28747"
"C32390",-1,0,0,0,0,0,"N-acetyltyrosine","Amino Acid","Phenylalanine and Tyrosine Metabolism",32390,"LC/MS Neg",100001104,1680,222.07718,"537-55-3","68310",61606,"","HMDB00866",""
"C32553",1,0,0,0,0,0,"phenol sulfate","Amino Acid","Phenylalanine and Tyrosine Metabolism",32553,"LC/MS Neg",100001510,2156,172.9914,"937-34-8","74426",67018,"C02180","HMDB60015","CHEBI:27905"
"C45951",-1,0,0,0,0,0,"1-linolenoyl-GPC (18:3)*","Lipid","Lysolipid",45951,"LC/MS Pos Late",100005350,1422,518.32412,"","",NA,"","",""
"C38637",0,1,0,0,0,0,"cinnamoylglycine","Xenobiotics","Food Component/Plant",38637,"LC/MS Neg",100002253,3127,204.06661,"16534-24-0","709625",618829,"","HMDB11621",""
"C48841",0,1,0,0,0,0,"p-cresol-glucuronide*","Amino Acid","Phenylalanine and Tyrosine Metabolism",48841,"LC/MS Neg",100006191,2420,283.08232,"17680-99-8","154035",135751,"","HMDB11686",""
"C36103",0,1,0,0,0,0,"p-cresol sulfate","Amino Acid","Phenylalanine and Tyrosine Metabolism",36103,"LC/MS Neg",100001315,2890,187.00705,"3233-57-7","4615423",3806480,"C01468","HMDB11635","CHEBI:82914"
"C21134",1,0,0,0,0,0,"adipate","Lipid","Fatty Acid, Dicarboxylate",21134,"LC/MS Polar",100000863,3000,145.05063,"124-04-9","196",191,"C06104","HMDB00448","CHEBI:30832"
"C22138",0,0,0,-1,0,0,"homocitrulline","Amino Acid","Urea cycle; Arginine and Proline Metabolism",22138,"LC/MS Polar",100000963,3006.8,188.10406,"1190-49-4","65072",58582,"C02427","HMDB00679","CHEBI:58148"
"C48434",-1,0,0,0,0,0,"N-acetylcitrulline","Amino Acid","Urea cycle; Arginine and Proline Metabolism",48434,"LC/MS Neg",100001577,940,216.09898,"33965-42-3","656979",571213,"C15532","HMDB00856",""
"C22053",0,-1,0,0,0,0,"3-hydroxydecanoate","Lipid","Fatty Acid, Monohydroxy",22053,"LC/MS Neg",100000997,4634.7,187.13396,"5561-87-5","26612",24790,"","HMDB02203",""
"C48757",0,0,0,0,0,1,"N-acetylkynurenine (2)","Amino Acid","Tryptophan Metabolism",48757,"LC/MS Pos Early",100006378,2364,251.10264,"","",NA,"","",""
"C33947",-1,0,0,0,0,0,"gamma-glutamyltryptophan","Peptide","Gamma-glutamyl Amino Acid",33947,"LC/MS Neg",100001295,1960,332.12519,"66471-20-3","3989307",2302065,"","HMDB29160",""
"C37097",-1,0,0,0,0,0,"tryptophan betaine ","Amino Acid","Tryptophan Metabolism",37097,"LC/MS Pos Early",100001743,2673,247.14411,"20671-76-5","442106",390633,"C09213","HMDB61115",""
"C37185",0,0,0,-1,0,0,"5alpha-androstan-3alpha,17beta-diol monosulfate (2)","Lipid","Steroid",37185,"LC/MS Neg",100006005,5080,371.18976,"","",NA,"","",""
"C39831",-1,0,0,0,0,0,"eicosanodioate","Lipid","Fatty Acid, Dicarboxylate",39831,"LC/MS Neg",100002951,5200.9,341.26973,"2424-92-2","75502",68030,"","",""
"C18394",-1,0,0,0,0,0,"theophylline","Xenobiotics","Xanthine Metabolism",18394,"LC/MS Pos Early",100000437,1870,181.07201,"58-55-9","2153",2068,"C07130","HMDB01889","CHEBI:28177"
"C18254",-1,0,0,0,0,0,"paraxanthine","Xenobiotics","Xanthine Metabolism",18254,"LC/MS Pos Early",100000453,1810,181.07201,"611-59-6","4687",4525,"C13747","HMDB01860","CHEBI:25858"
"C44656",-1,0,0,0,0,0,"isovalerate","Amino Acid","Leucine, Isoleucine and Valine Metabolism",44656,"LC/MS Neg",100000708,1564,101.0608,"503-74-2","10430",10001,"C08262","HMDB00718",""
"C52437",1,0,0,0,0,0,"sphingomyelin (d18:2/24:1, d18:1/24:2)*","Lipid","Sphingolipid Metabolism",52437,"LC/MS Pos Late",100008957,2635,811.66868,"","",NA,"","",""
"C34109",0,0,0,0,-1,0,"metoprolol acid metabolite*","Xenobiotics","Drug",34109,"LC/MS Pos Early",100001385,2950,268.15434,"56392-14-4","62936",56653,"","",""
"C1356",0,0,0,0,-1,0,"nonadecanoate (19:0)","Lipid","Long Chain Fatty Acid",1356,"LC/MS Neg",892,6068,297.2799,"646-30-0","12591",12071,"C16535","HMDB00772",""
"C52984",0,0,0,0,-1,0,"3-hydroxybutyrylcarnitine (2)","Lipid","Fatty Acid Metabolism(Acyl Carnitine)",52984,"LC/MS Pos Early",100009271,2340,248.14925,"","",NA,"","",""
"C1498",0,0,0,0,1,0,"N6,N6,N6-trimethyllysine","Amino Acid","Lysine Metabolism",1498,"LC/MS Pos Early",189,2825,189.15976,"23284-33-5","440120",140379,"C03793","HMDB01325",""
"C33161",0,0,0,0,-1,0,"2-methoxyacetaminophen glucuronide*","Xenobiotics","Drug",33161,"LC/MS Neg",100001795,1633,356.0987,"","",NA,"","",""
"C45721",0,0,0,0,-1,0,"3-(N-acetyl-L-cystein-S-yl) acetaminophen","Xenobiotics","Drug",45721,"LC/MS Neg",2048,2094,311.07072,"52372-86-8","83967",75765,"","",""
"C52690",0,0,0,0,1,0,"1-linoleoyl-GPA (18:2)*","Lipid","Lysolipid",52690,"LC/MS Neg",100009082,5483,433.23606,"","",24766514,"","HMDB07856",""
"C12032",0,0,0,0,-1,0,"4-acetamidophenol","Xenobiotics","Drug",12032,"LC/MS Neg",1383,2173.7,150.05605,"103-90-2","1983",1906,"C06804","HMDB01859",""
"C15736",0,0,0,0,-1,0,"4-acetamidophenylglucuronide","Xenobiotics","Drug",15736,"LC/MS Neg",100000043,1400,326.08814,"120595-80-4","83944",3239926,"","HMDB10316","CHEBI:32636"
"C33972",0,0,0,0,-1,0,"10-nonadecenoate (19:1n9)","Lipid","Long Chain Fatty Acid",33972,"LC/MS Neg",100001277,5780,295.26425,"73033-09-7","5312513",4471938,"","HMDB13622",""
"C33587",0,0,0,0,-1,0,"eicosenoate (20:1)","Lipid","Long Chain Fatty Acid",33587,"LC/MS Neg",100001335,5950,309.2799,"","5282768",4445895,"","HMDB02231",""
