"","EMY.z","EMY.p","EMY.FDR","EM.z","EM.p","MY.z","MY.p","CHEBI"
"CHEBI:82913",0.751,0.226,1,2.4,0.0164,-0.751,0.453,"3-methoxytyrosine"
"CHEBI:17191",0.745,0.228,1,-0.745,0.456,1.6,0.109,"isoleucine"
"APCS",0.744,0.228,1,-3.07,0.00218,0.744,0.457,NA
"TG",0.741,0.229,1,-0.741,0.458,0.861,0.389,NA
"CHEBI:30915",0.741,0.229,1,-0.741,0.459,1.19,0.234,"alpha-ketoglutarate"
"PRSS3",0.737,0.231,1,-0.875,0.382,0.737,0.461,NA
"FGR",0.736,0.231,1,-0.736,0.462,1.32,0.187,NA
"SLC25A18",0.736,0.231,1,0.736,0.462,-0.906,0.365,NA
"BMPR2",0.734,0.231,1,1.3,0.193,-0.734,0.463,NA
"CHEBI:16742",0.732,0.232,1,1.25,0.211,-0.732,0.464,"orotate"
"PPY",0.73,0.233,1,-2.22,0.0262,0.73,0.465,NA
"F9",0.728,0.233,1,-1.41,0.157,0.728,0.466,NA
"CD70",0.722,0.235,1,-0.802,0.422,0.722,0.471,NA
"EDA2R",0.721,0.235,1,0.721,0.471,-1.8,0.0724,NA
"ABL2",0.719,0.236,1,0.719,0.472,-0.917,0.359,NA
"MAPK13",0.718,0.236,1,-0.718,0.473,1.2,0.228,NA
"CHEBI:15611",0.706,0.24,1,-0.706,0.48,1.34,0.179,"sarcosine"
"CHEBI:67249",0.705,0.241,1,1.34,0.181,-0.705,0.481,"N-acetylcarnosine"
"CHEBI:17368",0.7,0.242,1,-0.797,0.426,0.7,0.484,"hypoxanthine"
"NBL1",0.699,0.242,1,1.04,0.3,-0.699,0.485,NA
"NOTCH2",0.698,0.243,1,-0.698,0.485,1.66,0.0972,NA
"KLK11",0.695,0.243,1,0.695,0.487,-1.45,0.148,NA
"LCN2",0.694,0.244,1,0.922,0.357,-0.694,0.488,NA
"CHEBI:45658",0.688,0.246,1,0.688,0.492,-0.813,0.416,"S-methylcysteine"
"CHEBI:15756",0.686,0.246,1,-0.948,0.343,0.686,0.493,"palmitate (16:0)"
"CD5L",0.685,0.247,1,1.03,0.305,-0.685,0.493,NA
"CHEBI:43355",0.681,0.248,1,1.89,0.0585,-0.681,0.496,"3-indoxyl sulfate"
"HSPA1A",0.678,0.249,1,-0.678,0.498,0.699,0.485,NA
"CHEBI:42797",0.673,0.251,1,0.673,0.501,-1.74,0.0825,"gabapentin"
"ACY1",0.668,0.252,1,-0.668,0.504,1.15,0.25,NA
"CTSD",0.667,0.253,1,0.667,0.505,-0.874,0.382,NA
"PAK6",0.664,0.253,1,-0.702,0.483,0.664,0.506,NA
"AFM",0.662,0.254,1,-2.21,0.0272,0.662,0.508,NA
"CHEBI:28716",0.66,0.255,1,-0.667,0.505,0.66,0.509,"palmitoleate (16:1n7)"
"CKM",0.657,0.255,1,-2.4,0.0162,0.657,0.511,NA
"ANGPTL4",0.646,0.259,1,0.646,0.519,-1.02,0.309,NA
"NPPB",0.645,0.259,1,-0.67,0.503,0.645,0.519,NA
"CHEBI:32159",0.641,0.261,1,0.925,0.355,-0.641,0.521,"sucralose"
"SCARB2",0.638,0.262,1,-0.638,0.524,1.95,0.0514,NA
"PRKAA1",0.634,0.263,1,-1.54,0.123,0.634,0.526,NA
"LRRTM1",0.631,0.264,1,-0.631,0.528,0.872,0.383,NA
"TIMP2",0.63,0.264,1,1.44,0.15,-0.63,0.528,NA
"FETUB",0.63,0.264,1,-3.46,0.00054,0.63,0.529,NA
"GNS",0.629,0.265,1,-0.629,0.53,0.804,0.421,NA
"C1S",0.624,0.266,1,-0.729,0.466,0.624,0.533,NA
"ADGRE2",0.618,0.268,1,-0.618,0.536,2.89,0.00382,NA
"SHH",0.613,0.27,1,-1.2,0.232,0.613,0.54,NA
"HAMP",0.608,0.272,1,-1.21,0.227,0.608,0.543,NA
"CHEBI:27410",0.608,0.272,1,-1.69,0.0905,0.608,0.543,"N1-Methyl-2-pyridone-5-carboxamide"
"F7",0.607,0.272,1,-1.4,0.163,0.607,0.544,NA
"GCG",0.602,0.274,1,-0.602,0.547,2.42,0.0157,NA
"DMP1",0.601,0.274,1,-0.601,0.548,0.914,0.361,NA
"TNFRSF13C",0.601,0.274,1,-0.601,0.548,1.18,0.24,NA
"TXNDC12",0.596,0.275,1,2.1,0.0356,-0.596,0.551,NA
"TFPI",0.595,0.276,1,-1.18,0.237,0.595,0.552,NA
"CHEBI:15971",0.591,0.277,1,-3.9,9.81e-05,0.591,0.555,"histidine"
"MSN",0.588,0.278,1,-0.588,0.556,2.82,0.00477,NA
"CHEBI:17924",0.582,0.28,1,-0.788,0.431,0.582,0.561,"mannitol/sorbitol"
"FCGR3B",0.572,0.284,1,1.56,0.119,-0.572,0.568,NA
"CHEBI:83037",0.569,0.285,1,-0.707,0.48,0.569,0.569,"andro steroid monosulfate (1)*"
"ITGA1",0.567,0.285,1,-0.567,0.57,1.15,0.25,NA
"IL22",0.562,0.287,1,0.562,0.574,-1.32,0.187,NA
"CHEBI:1372",0.561,0.287,1,-2.05,0.0405,0.561,0.575,"S-1-pyrroline-5-carboxylate"
"CHEBI:17509",0.558,0.288,1,-0.558,0.577,1.43,0.153,"5-methylthioadenosine (MTA)"
"CHEBI:16450",0.556,0.289,1,0.556,0.578,-1.38,0.168,"2'-deoxyuridine"
"PROS1",0.554,0.29,1,-0.554,0.579,0.742,0.458,NA
"BIRC7",0.549,0.292,1,-0.549,0.583,0.771,0.441,NA
"SIGLEC14",0.549,0.292,1,1.26,0.207,-0.549,0.583,NA
"ELANE",0.547,0.292,1,-0.547,0.585,0.907,0.365,NA
"GZMH",0.547,0.292,1,-0.547,0.585,1.33,0.184,NA
"CHEBI:17203",0.544,0.293,1,-0.544,0.587,2.21,0.027,"proline"
"CHEBI:36274",0.543,0.293,1,-0.543,0.587,0.86,0.39,"glycochenodeoxycholate"
"CHEBI:73722",0.54,0.295,1,1.61,0.108,-0.54,0.589,"hexadecanedioate"
"CHEBI:73074",0.534,0.297,1,1.31,0.19,-0.534,0.593,"stearoylcarnitine"
"KLK8",0.534,0.297,1,-0.534,0.593,0.711,0.477,NA
"CHEBI:21547",0.532,0.298,1,-0.532,0.595,1.63,0.103,"N-acetylaspartate (NAA)"
"PSPN",0.528,0.299,1,-0.535,0.593,0.528,0.597,NA
"CA6",0.522,0.301,1,-2.42,0.0157,0.522,0.602,NA
"CST2",0.521,0.301,1,-1.74,0.0813,0.521,0.603,NA
"CD207",0.504,0.307,1,-0.504,0.614,1.38,0.168,NA
"CHEBI:28842",0.502,0.308,1,-0.934,0.35,0.502,0.615,"stearate (18:0)"
"CHEBI:15978",0.501,0.308,1,-1.08,0.282,0.501,0.617,"glycerol 3-phosphate"
"INS",0.499,0.309,1,-0.94,0.347,0.499,0.618,NA
"CHEBI:28364",0.498,0.309,1,-2.51,0.012,0.498,0.619,"eicosapentaenoate (EPA; 20:5n3)"
"CHEBI:17482",0.494,0.311,1,-0.618,0.537,0.494,0.621,"cystathionine"
"LAYN",0.494,0.311,1,1.13,0.259,-0.494,0.621,NA
"CHEBI:72663",0.491,0.312,1,-0.491,0.623,1.18,0.238,"9,10-DiHOME"
"ITIH4",0.489,0.312,1,1.17,0.241,-0.489,0.625,NA
"CHEBI:27891",0.489,0.312,1,1.24,0.215,-0.489,0.625,"cysteine s-sulfate"
"FGFR1",0.488,0.313,1,1.81,0.0696,-0.488,0.625,NA
"SERPINA4",0.488,0.313,1,-2.29,0.0222,0.488,0.626,NA
"TIMP1",0.487,0.313,1,0.728,0.466,-0.487,0.626,NA
"IL37",0.48,0.316,1,1.31,0.19,-0.48,0.631,NA
"KIR3DL2",0.479,0.316,1,-1.31,0.189,0.479,0.632,NA
"NANOG",0.478,0.316,1,-0.478,0.632,1.16,0.246,NA
"SFRP1",0.477,0.317,1,-0.477,0.633,0.653,0.514,NA
"CHEBI:68830",0.476,0.317,1,0.476,0.634,-0.775,0.438,"decanoylcarnitine"
"CHEBI:16176",0.471,0.319,1,-0.74,0.459,0.471,0.637,"ornithine"
"CTSV",0.465,0.321,1,-0.465,0.642,1.6,0.109,NA
"CHIT1",0.464,0.321,1,1.99,0.047,-0.464,0.642,NA
"CHEBI:49033",0.464,0.321,1,-3.33,0.000866,0.464,0.643,"methionine sulfoxide"
"MAP2K4",0.461,0.322,1,-1.39,0.165,0.461,0.645,NA
"CHEBI:30860",0.455,0.324,1,-1.87,0.0609,0.455,0.649,"methylmalonate (MMA)"
"TNNI2",0.455,0.324,1,-1.19,0.236,0.455,0.649,NA
"LCORL",0.448,0.327,1,-0.448,0.654,2.25,0.0243,NA
"CHEBI:28797",0.448,0.327,1,0.448,0.654,-0.606,0.545,"2-aminobutyrate"
"ANXA2",0.442,0.329,1,-0.442,0.658,0.574,0.566,NA
"CHEBI:17310",0.442,0.329,1,-0.442,0.659,0.51,0.61,"pyridoxal"
"SH2D1A",0.438,0.331,1,0.438,0.661,-0.697,0.486,NA
"ADCYAP1",0.437,0.331,1,0.437,0.662,-1.24,0.216,NA
"CHEBI:2596",0.434,0.332,1,0.434,0.664,-0.506,0.613,"alliin"
"CHEBI:15843",0.434,0.332,1,-0.434,0.665,0.53,0.596,"arachidonate (20:4n6)"
"CHEBI:30745",0.433,0.333,1,1.74,0.0818,-0.433,0.665,"phenylacetate"
"IL3",0.431,0.333,1,0.677,0.498,-0.431,0.666,NA
"IDS",0.43,0.333,1,0.43,0.667,-0.627,0.531,NA
"CHEBI:53486",0.423,0.336,1,-1.29,0.197,0.423,0.672,"dihomo-linolenate (20:3n3 or n6)"
"IL7",0.422,0.337,1,-0.422,0.673,1.08,0.281,NA
"ERBB3",0.419,0.338,1,-0.419,0.675,1.15,0.25,NA
"CHEBI:28822",0.418,0.338,1,-1.22,0.222,0.418,0.676,"arachidate (20:0)"
"TEC",0.418,0.338,1,-0.631,0.528,0.418,0.676,NA
"REN",0.415,0.339,1,-1.11,0.267,0.415,0.678,NA
"FGA",0.414,0.34,1,1.15,0.25,-0.414,0.679,NA
"ESM1",0.407,0.342,1,4.19,2.78e-05,-0.407,0.684,NA
"LGALS3",0.406,0.342,1,0.406,0.684,-0.543,0.587,NA
"KAT6A",0.404,0.343,1,0.404,0.686,-1.19,0.232,NA
"CHEBI:17490",0.4,0.344,1,2.44,0.0145,-0.4,0.689,"palmitoylcarnitine"
"TNFRSF9",0.398,0.345,1,0.398,0.69,-0.976,0.329,NA
"IL27",0.395,0.346,1,0.395,0.693,-0.634,0.526,NA
"CXCL8",0.395,0.347,1,1.82,0.0686,-0.395,0.693,NA
"IL25",0.388,0.349,1,-0.388,0.698,1.45,0.146,NA
"CSF2",0.386,0.35,1,1.29,0.198,-0.386,0.699,NA
"FCGR2A",0.385,0.35,1,-0.385,0.701,1.77,0.0762,NA
"IFNGR1",0.385,0.35,1,-0.385,0.701,2.59,0.00969,NA
"FYN",0.384,0.35,1,-0.682,0.495,0.384,0.701,NA
"CA7",0.384,0.351,1,0.384,0.701,-0.843,0.399,NA
"LIFR",0.383,0.351,1,-0.549,0.583,0.383,0.702,NA
"PSME3",0.378,0.353,1,-0.378,0.706,1.07,0.285,NA
"CRP",0.376,0.354,1,-0.376,0.707,0.387,0.699,NA
"NTRK3",0.372,0.355,1,-0.899,0.368,0.372,0.71,NA
"FUT5",0.37,0.356,1,1.01,0.31,-0.37,0.711,NA
"CCL4L1",0.366,0.357,1,-0.827,0.408,0.366,0.714,NA
"ERAP1",0.358,0.36,1,-0.415,0.678,0.358,0.72,NA
"CTSE",0.356,0.361,1,-0.356,0.722,0.609,0.543,NA
"SERPINA5",0.355,0.361,1,-0.753,0.451,0.355,0.722,NA
"TNFSF18",0.354,0.362,1,-0.354,0.723,1.12,0.263,NA
"CSF1",0.354,0.362,1,0.354,0.723,-1.22,0.222,NA
"FGFR3",0.353,0.362,1,-0.582,0.56,0.353,0.724,NA
"CPB2",0.353,0.362,1,-0.353,0.724,1.44,0.15,NA
"CAMK2B",0.351,0.363,1,-0.963,0.335,0.351,0.726,NA
"CTSA",0.35,0.363,1,-0.35,0.726,0.866,0.386,NA
"FER",0.35,0.363,1,-0.691,0.49,0.35,0.727,NA
"IGHE",0.347,0.364,1,1.13,0.258,-0.347,0.729,NA
"PCNA",0.346,0.365,1,-0.346,0.729,1.84,0.0651,NA
"RPSA",0.345,0.365,1,-0.579,0.563,0.345,0.73,NA
"KLRF1",0.342,0.366,1,-0.342,0.733,0.53,0.596,NA
"PTH",0.341,0.366,1,-0.341,0.733,0.594,0.553,NA
"CYCS",0.341,0.367,1,-0.341,0.733,1.45,0.147,NA
"DKK4",0.339,0.367,1,-0.339,0.735,0.652,0.515,NA
"CHEBI:50619",0.337,0.368,1,-0.337,0.736,1.39,0.164,"gamma-glutamylalanine"
"TEK",0.321,0.374,1,0.415,0.678,-0.321,0.748,NA
"MAPKAPK3",0.315,0.377,1,-0.792,0.428,0.315,0.753,NA
"CHEBI:16675",0.314,0.377,1,-0.314,0.754,0.933,0.351,"quinolinate"
"SRC",0.31,0.378,1,-0.881,0.379,0.31,0.757,NA
"NXPH1",0.303,0.381,1,-0.304,0.761,0.303,0.762,NA
"CBX5",0.301,0.382,1,-1.5,0.134,0.301,0.764,NA
"CST3",0.299,0.382,1,0.547,0.585,-0.299,0.765,NA
"ADAMTS4",0.298,0.383,1,-0.412,0.68,0.298,0.765,NA
"GPC2",0.296,0.383,1,-0.676,0.499,0.296,0.767,NA
"EPHA10",0.296,0.384,1,-0.296,0.767,2.58,0.00982,NA
"CHEBI:18089",0.296,0.384,1,0.296,0.767,-0.829,0.407,"hippurate"
"HPX",0.295,0.384,1,-0.347,0.729,0.295,0.768,NA
"CADM1",0.294,0.384,1,-0.316,0.752,0.294,0.769,NA
"CHEBI:60175",0.293,0.385,1,1.78,0.0756,-0.293,0.77,"5-hydroxylysine"
"SNRPF",0.287,0.387,1,0.706,0.48,-0.287,0.774,NA
"KLKB1",0.286,0.388,1,-1.05,0.293,0.286,0.775,NA
"CHEBI:58080",0.282,0.389,1,0.282,0.778,-0.452,0.651,"N-acetylglucosaminylasparagine "
"CHEK1",0.274,0.392,1,0.274,0.784,-0.719,0.472,NA
"CHEBI:15842",0.271,0.393,1,0.271,0.787,-1.77,0.0772,"orotidine"
"FGF2",0.266,0.395,1,-0.266,0.79,1.46,0.144,NA
"CHEBI:16552",0.266,0.395,1,-2.29,0.0222,0.266,0.79,"N-formylmethionine"
"CHEBI:15999",0.262,0.397,1,-0.262,0.794,4.06,4.98e-05,"4-hydroxyphenylpyruvate"
"HFE2",0.26,0.398,1,-0.26,0.795,1.8,0.0713,NA
"MRC1",0.257,0.398,1,0.257,0.797,-0.6,0.548,NA
"PLK1",0.255,0.399,1,-0.255,0.798,1.74,0.0817,NA
"IGFBP3",0.252,0.401,1,0.252,0.801,-0.989,0.323,NA
"SST",0.25,0.401,1,-0.25,0.803,1.29,0.197,NA
"PPID",0.247,0.402,1,-0.783,0.434,0.247,0.805,NA
"KLK3",0.247,0.403,1,-0.247,0.805,0.431,0.667,NA
"CHEBI:45744",0.246,0.403,1,-0.39,0.696,0.246,0.806,"N-acetylneuraminate"
"P4HB",0.244,0.403,1,-0.257,0.797,0.244,0.807,NA
"TGFBR3",0.242,0.404,1,0.242,0.809,-0.408,0.683,NA
"CHEBI:17405",0.242,0.404,1,-0.242,0.809,1.06,0.288,"pyridoxate"
"IL1RL2",0.241,0.405,1,0.241,0.81,-0.545,0.586,NA
"NAAA",0.236,0.407,1,-0.236,0.813,1.29,0.197,NA
"C2",0.233,0.408,1,0.233,0.815,-0.775,0.438,NA
"CHEBI:16704",0.229,0.409,1,-4.18,2.91e-05,0.229,0.819,"uridine"
"DCTPP1",0.229,0.41,1,-0.229,0.819,0.694,0.488,NA
"CAMK2D",0.225,0.411,1,-1.13,0.258,0.225,0.822,NA
"CAST",0.222,0.412,1,-0.222,0.824,0.351,0.726,NA
"CHEBI:71466",0.221,0.413,1,-1.33,0.183,0.221,0.825,"oleoyl ethanolamide"
