"","in_pwy","impact","EMY.p","EMY.FDR","EM_dir.p","MY_dir.p","EM.t","EM.p","MY.t","MY.p","CHEBI"
"LYVE1",FALSE,0.00893,0.0773,0.933,0.235,0.278,-1.21,0.235,-1.1,0.278,NA
"CHEBI:73004",FALSE,0.00848,0.379,0.933,0.0659,0.615,-1.9,0.0659,0.296,0.769,"1-palmitoyl-GPE (16:0)"
"PLA2G1B",FALSE,0.00798,0.319,0.933,0.565,0.114,-0.165,0.87,1.63,0.114,NA
"IL2",FALSE,0.00796,0.264,0.933,0.513,0.287,-0.0338,0.973,1.08,0.287,NA
"PPY",FALSE,0.00671,0.217,0.933,0.0262,0.465,2.33,0.0262,0.739,0.465,NA
"F10",FALSE,0.0065,0.00279,0.226,0.0528,0.0256,2.01,0.0528,2.35,0.0256,NA
"CD36",FALSE,0.0065,0.376,0.933,0.576,0.613,0.565,0.576,-0.291,0.773,NA
"SHBG",FALSE,0.00626,0.0564,0.933,0.00528,0.238,-2.99,0.00528,-1.2,0.238,NA
"SERPIND1",FALSE,0.00616,0.0219,0.752,0.0196,0.148,2.46,0.0196,1.48,0.148,NA
"LEP",FALSE,0.00556,0.054,0.933,0.232,0.0936,1.22,0.232,1.73,0.0936,NA
"ARSB",FALSE,0.00531,0.114,0.933,0.337,0.278,0.974,0.337,1.1,0.278,NA
"SOD2",FALSE,0.00514,0.317,0.933,0.563,0.168,-0.161,0.873,1.41,0.168,NA
"RETN",FALSE,0.0051,0.322,0.933,0.117,0.568,-1.61,0.117,0.172,0.865,NA
"IL12B",FALSE,0.0042,0.285,0.933,0.176,0.534,1.38,0.176,-0.0868,0.931,NA
"GP1BA",FALSE,0.00416,0.0847,0.933,0.0272,0.291,-2.32,0.0272,-1.07,0.291,NA
"CHEBI:15756",FALSE,0.00408,0.243,0.933,0.343,0.493,0.962,0.343,0.694,0.493,"palmitate (16:0)"
"C1QA",FALSE,0.00386,0.0887,0.933,0.259,0.298,-1.15,0.259,-1.06,0.298,NA
"F9",FALSE,0.00285,0.216,0.933,0.157,0.465,1.45,0.157,0.74,0.465,NA
"IGHG1",FALSE,0.00278,0.0474,0.933,0.218,0.0786,-1.26,0.218,-1.82,0.0786,NA
"EGFR",FALSE,0.00276,0.0715,0.933,0.267,0.11,1.13,0.267,1.65,0.11,NA
"PTK2",FALSE,0.00274,0.338,0.933,0.582,0.351,-0.208,0.837,0.946,0.351,NA
"IL1B",FALSE,0.00264,0.35,0.933,0.346,0.592,-0.957,0.346,0.234,0.817,NA
"KNG1",FALSE,0.00261,0.369,0.933,0.471,0.608,0.73,0.471,-0.275,0.785,NA
"IL5",FALSE,0.00237,0.286,0.933,0.535,0.0851,0.0883,0.93,-1.78,0.0851,NA
"CGA",FALSE,0.00227,0.0849,0.933,0.291,0.257,1.07,0.291,1.15,0.257,NA
"AGT",FALSE,0.00216,0.423,0.933,0.65,0.397,-0.39,0.699,0.859,0.397,NA
"HMGCR",FALSE,0.00209,0.45,0.933,0.671,0.151,-0.446,0.658,1.47,0.151,NA
"APCS",FALSE,0.00206,0.208,0.933,0.00218,0.456,3.33,0.00218,0.755,0.456,NA
"CDH1",FALSE,0.00203,0.0773,0.933,0.278,0.145,1.1,0.278,1.5,0.145,NA
"ADIPOQ",FALSE,0.00198,0.315,0.933,0.313,0.561,-1.02,0.313,0.154,0.878,NA
"MMP10",FALSE,0.00181,0.413,0.933,0.643,0.0941,0.369,0.715,-1.73,0.0941,NA
"F11",FALSE,0.00177,0.352,0.933,0.593,0.279,-0.238,0.813,1.1,0.279,NA
"CSK",FALSE,0.00176,0.362,0.933,0.284,0.602,1.09,0.284,-0.26,0.797,NA
"TFPI",FALSE,0.00171,0.304,0.933,0.237,0.551,1.21,0.237,0.602,0.551,NA
"S100A9",FALSE,-0.00166,0.824,0.933,0.31,0.908,1.03,0.31,0.117,0.908,NA
"PF4",FALSE,-0.00179,0.736,0.933,0.11,0.858,1.64,0.11,-1.09,0.285,NA
"MMP9",FALSE,-0.00185,0.639,0.933,0.799,0.182,0.85,0.402,-1.37,0.182,NA
"GSTP1",FALSE,-0.00185,0.742,0.933,0.861,0.293,-0.176,0.861,-1.07,0.293,NA
"SOD1",FALSE,-0.00186,0.729,0.933,0.854,0.0604,1.07,0.292,-1.95,0.0604,NA
"PSMA2",FALSE,-0.00191,0.642,0.933,0.801,0.175,0.857,0.398,-1.39,0.175,NA
"PPIA",FALSE,-0.00202,0.842,0.935,0.918,0.114,1.42,0.164,-1.63,0.114,NA
"ESD",FALSE,-0.00205,0.814,0.933,0.902,0.174,1.32,0.195,-1.39,0.174,NA
"TPM2",FALSE,-0.00217,0.869,0.935,0.128,0.932,-1.56,0.128,1.53,0.135,NA
"ICAM3",FALSE,-0.00218,0.704,0.933,0.839,0.119,1.01,0.322,-1.6,0.119,NA
"IL6",FALSE,-0.00228,0.649,0.933,0.806,0.153,0.874,0.389,-1.46,0.153,NA
"CAT",FALSE,-0.0023,0.768,0.933,0.877,0.124,1.18,0.247,-1.58,0.124,NA
"CAPN1",FALSE,-0.00243,0.844,0.935,0.133,0.919,1.54,0.133,-1.43,0.162,NA
"FABP3",FALSE,-0.00244,0.594,0.933,0.771,0.254,-0.751,0.458,1.16,0.254,NA
"FCN2",FALSE,-0.00249,0.68,0.933,0.198,0.825,1.31,0.198,-0.947,0.351,NA
"MAP2K1",FALSE,-0.00253,0.933,0.96,0.966,0.267,-0.0431,0.966,-1.13,0.267,NA
"NAAA",FALSE,-0.00254,0.662,0.933,0.813,0.196,0.238,0.813,1.32,0.196,NA
"MAPT",FALSE,-0.0027,0.794,0.933,0.891,0.0782,1.26,0.218,-1.82,0.0782,NA
"COL18A1",FALSE,-0.00283,0.77,0.933,0.406,0.877,-0.842,0.406,-0.155,0.877,NA
"NOG",FALSE,-0.00284,0.784,0.933,0.885,0.298,-0.145,0.885,-1.06,0.298,NA
"MB",FALSE,-0.00305,0.681,0.933,0.187,0.825,-1.35,0.187,0.949,0.35,NA
"MAPK3",FALSE,-0.00343,0.664,0.933,0.199,0.815,1.31,0.199,-0.908,0.371,NA
"FTH1",FALSE,-0.00356,0.688,0.933,0.829,0.136,0.966,0.342,-1.53,0.136,NA
"CCL2",FALSE,-0.00384,0.739,0.933,0.691,0.86,-0.402,0.691,-0.178,0.86,NA
"IL17RC",FALSE,-0.00397,0.632,0.933,0.795,0.218,-0.834,0.41,1.26,0.218,NA
"ALPL",FALSE,-0.00403,0.755,0.933,0.869,0.0952,1.14,0.262,-1.72,0.0952,NA
"F2",FALSE,-0.00476,0.782,0.933,0.884,0.0545,1.22,0.232,-2,0.0545,NA
"ACP5",FALSE,-0.00485,0.757,0.933,0.87,0.162,-1.15,0.26,1.43,0.162,NA
"PROC",FALSE,-0.00532,0.942,0.963,0.0449,0.971,2.09,0.0449,-1.96,0.0586,NA
"ARSA",FALSE,-0.00546,0.883,0.939,0.94,0.00456,-1.59,0.121,3.06,0.00456,NA
"SPARC",FALSE,-0.00548,0.746,0.933,0.179,0.864,1.37,0.179,-1.12,0.272,NA
"CYP3A4",FALSE,-0.00568,0.733,0.933,0.197,0.856,1.32,0.197,-1.08,0.288,NA
"FGG",FALSE,-0.0063,0.991,0.996,0.111,0.995,-1.64,0.111,-0.0058,0.995,NA
"IL4",FALSE,-0.00652,0.707,0.933,0.841,0.0669,1.01,0.319,-1.9,0.0669,NA
"TBP",FALSE,-0.00658,0.99,0.995,0.995,0.805,0.00663,0.995,0.25,0.805,NA
"APOB",FALSE,-0.00718,0.951,0.967,0.975,0.0223,-2.04,0.0498,2.41,0.0223,NA
"CHEBI:71466",FALSE,-0.00733,0.681,0.933,0.183,0.825,1.36,0.183,0.222,0.825,"oleoyl ethanolamide"
"CHEBI:72998",FALSE,-0.00738,0.598,0.933,0.319,0.774,-1.01,0.319,0.76,0.453,"1-palmitoyl-GPC (16:0)"
"COLEC11",FALSE,-0.00754,0.924,0.956,0.961,0.00163,-1.82,0.0777,3.45,0.00163,NA
"MMP13",FALSE,-0.00863,0.976,0.985,0.988,0.0144,-2.36,0.0243,2.59,0.0144,NA
"PON1",FALSE,-0.00868,0.85,0.935,0.922,0.0521,1.45,0.156,-2.02,0.0521,NA
"MED1",FALSE,-0.00891,0.654,0.933,0.809,0.0651,0.885,0.383,-1.91,0.0651,NA
"TNF",FALSE,-0.00936,0.886,0.941,0.941,0.0456,-1.61,0.117,2.08,0.0456,NA
"TNFRSF21",FALSE,-0.0126,0.664,0.933,0.123,0.815,-1.58,0.123,0.91,0.37,NA
"PLA2G5",FALSE,-0.0133,0.762,0.933,0.873,0.0484,1.16,0.254,-2.05,0.0484,NA
"CTGF",FALSE,-0.0141,0.741,0.933,0.861,0.0867,1.1,0.278,-1.77,0.0867,NA
"PLA2G10",FALSE,-0.0151,0.816,0.933,0.903,0.033,1.33,0.193,-2.23,0.033,NA
"KYNU",FALSE,-0.0176,0.939,0.961,0.0491,0.969,2.05,0.0491,-1.94,0.0621,NA
"TFF3",FALSE,-0.0294,0.912,0.95,0.955,0.514,-0.0566,0.955,0.0341,0.973,NA
"PTGS2",FALSE,-0.0325,0.92,0.954,0.454,0.959,0.758,0.454,0.0517,0.959,NA
"CHEBI:53487",TRUE,-2.68,0.994,0.997,0.997,0.874,0.00393,0.997,0.159,0.874,"adrenate (22:4n6)"
