"","in_pwy","impact","EMY.p","EMY.FDR","EM_dir.p","MY_dir.p","EM.t","EM.p","MY.t","MY.p","CHEBI"
"CHEBI:18019",FALSE,0.0637,0.0668,0.933,0.259,0.223,1.15,0.259,1.24,0.223,"lysine"
"CHEBI:17533",FALSE,0.0621,0.00263,0.226,0.0513,0.00822,2.02,0.0513,2.82,0.00822,"N-acetylglutamate"
"CHEBI:17191",FALSE,0.0567,0.208,0.933,0.456,0.108,0.754,0.456,1.66,0.108,"isoleucine"
"CHEBI:15741",FALSE,0.0545,0.0709,0.933,0.0638,0.266,1.92,0.0638,1.13,0.266,"succinate"
"CHEBI:35932",FALSE,0.0536,0.0146,0.65,0.0142,0.121,2.59,0.0142,1.59,0.121,"3-methyl-2-oxovalerate"
"CHEBI:17712",FALSE,0.0526,0.0237,0.796,0.106,0.154,1.67,0.106,1.46,0.154,"xanthine"
"CHEBI:16742",FALSE,0.0502,0.216,0.933,0.211,0.464,-1.28,0.211,-0.741,0.464,"orotate"
"CHEBI:18261",FALSE,0.0401,0.317,0.933,0.563,0.0774,0.161,0.873,-1.83,0.0774,"3-ureidopropionate"
"CHEBI:15971",FALSE,0.0397,0.305,0.933,9.81e-05,0.552,4.45,9.81e-05,0.601,0.552,"histidine"
"ACY1",FALSE,0.0336,0.254,0.933,0.504,0.25,0.676,0.504,1.17,0.25,NA
"CHEBI:17368",FALSE,0.032,0.235,0.933,0.426,0.484,0.807,0.426,0.708,0.484,"hypoxanthine"
"CHEBI:15344",FALSE,0.0315,0.0329,0.893,0.177,0.181,-1.38,0.177,-1.37,0.181,"acetoacetate"
"CHEBI:16199",FALSE,0.0273,0.147,0.933,0.0545,0.383,2,0.0545,0.885,0.383,"urea"
"CHEBI:30794",FALSE,0.0268,0.11,0.933,0.155,0.332,-1.46,0.155,-0.986,0.332,"malonate"
"CHEBI:422",FALSE,0.0259,0.031,0.872,0.0244,0.176,2.36,0.0244,1.38,0.176,"lactate"
"CHEBI:16344",FALSE,0.0252,0.282,0.933,0.531,0.515,-0.0797,0.937,0.658,0.515,"guanidinoacetate"
"CHEBI:17596",FALSE,0.0244,0.32,0.933,0.566,0.232,0.168,0.868,-1.22,0.232,"inosine"
"SLC25A18",FALSE,0.0227,0.213,0.933,0.462,0.365,-0.745,0.462,-0.92,0.365,NA
"CHEBI:17115",FALSE,0.0209,0.264,0.933,0.208,0.514,-1.28,0.208,0.0352,0.972,"serine"
"ENPP7",FALSE,0.0144,0.00805,0.418,0.0897,0.0168,1.75,0.0897,2.53,0.0168,NA
"CHEBI:27596",FALSE,0.0142,0.386,0.933,0.621,0.594,-0.499,0.621,0.241,0.811,"1-methylhistidine"
"CHEBI:17203",FALSE,0.0135,0.344,0.933,0.587,0.0268,0.549,0.587,2.33,0.0268,"proline"
"CHEBI:17568",FALSE,0.0118,0.0413,0.933,0.108,0.203,1.65,0.108,1.3,0.203,"uracil"
"CHEBI:32796",FALSE,0.0118,0.397,0.933,0.0129,0.63,2.63,0.0129,-0.335,0.74,"2-hydroxyglutarate"
"CHEBI:15611",FALSE,0.0107,0.23,0.933,0.48,0.179,0.715,0.48,1.38,0.179,"sarcosine"
"CHEBI:1372",FALSE,0.0104,0.33,0.933,0.0405,0.575,2.14,0.0405,0.567,0.575,"S-1-pyrroline-5-carboxylate"
"BMP1",FALSE,0.0104,0.0331,0.893,0.0732,0.182,1.85,0.0732,1.37,0.182,NA
"LTA4H",FALSE,0.0103,0.106,0.933,0.17,0.326,-1.4,0.17,-0.999,0.326,NA
"CHEBI:16797",FALSE,0.0101,0.00814,0.418,0.0275,0.0902,2.31,0.0275,1.75,0.0902,"1-methylnicotinamide"
"ALPL",FALSE,-0.0098,0.755,0.933,0.869,0.0952,1.14,0.262,-1.72,0.0952,NA
"ATP5B",FALSE,-0.00982,0.956,0.97,0.978,0.00203,2.09,0.0445,-3.37,0.00203,NA
"PON1",FALSE,-0.0102,0.85,0.935,0.922,0.0521,1.45,0.156,-2.02,0.0521,NA
"NAMPT",FALSE,-0.0104,0.929,0.957,0.964,0.0516,1.86,0.0723,-2.03,0.0516,NA
"CA3",FALSE,-0.0106,0.805,0.933,0.897,0.0683,1.29,0.206,-1.89,0.0683,NA
"PDXP",FALSE,-0.0112,0.722,0.933,0.85,0.0999,1.05,0.3,-1.7,0.0999,NA
"KRAS",FALSE,-0.0115,0.858,0.935,0.926,0.124,-1.48,0.147,1.58,0.124,NA
"CHEBI:17562",FALSE,-0.0116,0.882,0.938,0.13,0.939,-1.56,0.13,-0.0772,0.939,"cytidine"
"MAP2K1",FALSE,-0.0122,0.933,0.96,0.966,0.267,-0.0431,0.966,-1.13,0.267,NA
"ADAM12",FALSE,-0.0129,0.95,0.967,0.975,0.698,0.0319,0.975,0.392,0.698,NA
"FGG",FALSE,-0.0132,0.991,0.996,0.111,0.995,-1.64,0.111,-0.0058,0.995,NA
"IMPDH1",FALSE,-0.0137,0.78,0.933,0.691,0.883,0.401,0.691,0.148,0.883,NA
"FOLH1",FALSE,-0.0154,0.746,0.933,0.181,0.864,-1.37,0.181,-0.173,0.864,NA
"NME2",FALSE,-0.0162,0.802,0.933,0.201,0.896,1.31,0.201,-1.28,0.209,NA
"CA9",FALSE,-0.0162,0.916,0.952,0.0271,0.957,-2.32,0.0271,1.77,0.0862,NA
"PTPN11",FALSE,-0.0174,0.846,0.935,0.92,0.0268,1.44,0.16,-2.32,0.0268,NA
"MDH1",FALSE,-0.0176,0.832,0.935,0.912,0.13,1.38,0.176,-1.55,0.13,NA
"CHEBI:17050",FALSE,-0.0177,0.819,0.933,0.905,0.0569,1.34,0.19,-1.98,0.0569,"3-phosphoglycerate"
"ENTPD3",FALSE,-0.0182,0.749,0.933,0.865,0.0377,1.12,0.269,-2.17,0.0377,NA
"CHEBI:17594",FALSE,-0.0196,0.85,0.935,0.618,0.922,-0.503,0.618,-0.0989,0.922,"hydroquinone sulfate"
"PPA1",FALSE,-0.0204,0.796,0.933,0.892,0.0361,1.26,0.216,-2.19,0.0361,NA
"CHEBI:15842",FALSE,-0.0207,0.619,0.933,0.787,0.0771,-0.273,0.787,-1.83,0.0771,"orotidine"
"CHEBI:15999",FALSE,-0.0213,0.63,0.933,0.794,4.68e-05,0.264,0.794,4.73,4.68e-05,"4-hydroxyphenylpyruvate"
"ENTPD1",FALSE,-0.0214,0.75,0.933,0.866,0.353,-0.17,0.866,-0.943,0.353,NA
"KYNU",FALSE,-0.0218,0.939,0.961,0.0491,0.969,2.05,0.0491,-1.94,0.0621,NA
"HSP90AA1",FALSE,-0.0259,0.855,0.935,0.106,0.925,1.67,0.106,-1.47,0.151,NA
"CHEBI:16946",FALSE,-0.0271,0.815,0.933,0.903,0.185,0.123,0.903,1.35,0.185,"kynurenine"
"CHEBI:30769",FALSE,-0.0279,0.726,0.933,0.112,0.852,-1.63,0.112,-0.188,0.852,"citrate"
"NME1",FALSE,-0.0306,0.934,0.96,0.966,0.00271,1.9,0.0671,-3.26,0.00271,NA
"CHEBI:16857",FALSE,-0.0334,0.783,0.933,0.525,0.885,-0.0634,0.95,0.146,0.885,"threonine"
"CHEBI:15676",FALSE,-0.0342,0.815,0.933,0.903,0.102,1.32,0.195,-1.69,0.102,"allantoin"
"AIMP1",FALSE,-0.0345,0.853,0.935,0.924,0.0196,0.0967,0.924,2.46,0.0196,NA
"CHEBI:18095",FALSE,-0.0346,0.797,0.933,0.32,0.893,-1.01,0.32,-0.136,0.893,"trans-4-hydroxyproline"
"CHEBI:17752",FALSE,-0.0351,0.724,0.933,0.167,0.851,1.41,0.167,-1.06,0.298,"N6-acetyllysine"
"CHEBI:41721",FALSE,-0.0359,0.726,0.933,0.059,0.852,1.96,0.059,-1.06,0.296,"cysteine sulfinic acid"
"GOT1",FALSE,-0.0419,0.743,0.933,0.0185,0.862,-2.48,0.0185,1.11,0.276,NA
"CHEBI:15428",FALSE,-0.0445,0.801,0.933,0.261,0.895,-1.14,0.261,-0.133,0.895,"glycine"
"CHEBI:17561",FALSE,-0.0463,0.864,0.935,0.0396,0.93,-2.15,0.0396,1.51,0.141,"cysteine"
"TPO",FALSE,-0.0484,0.998,0.999,0.999,0.0504,-0.00142,0.999,-2.04,0.0504,NA
"ARG1",FALSE,-0.0619,0.937,0.961,0.968,0.0603,-1.92,0.0639,1.95,0.0603,NA
"CHEBI:16543",FALSE,-0.0822,0.936,0.961,0.00124,0.967,3.55,0.00124,-1.91,0.0652,"N-alpha-acetylornithine"
"CHEBI:16027",TRUE,-0.683,0.743,0.933,0.862,0.0675,1.11,0.276,-1.89,0.0675,"adenosine 5'-monophosphate (AMP)"
"CHEBI:16467",TRUE,-0.695,0.728,0.933,0.853,0.248,-1.07,0.294,1.18,0.248,"arginine"
"CHEBI:17053",TRUE,-0.73,0.695,0.933,0.21,0.834,1.28,0.21,-0.984,0.333,"aspartate"
"CHEBI:16958",TRUE,-0.979,0.806,0.933,0.898,0.517,-0.129,0.898,0.043,0.966,"beta-alanine"
"CHEBI:16015",TRUE,-1.24,0.865,0.935,0.669,0.93,0.432,0.669,0.0882,0.93,"glutamate"
"CHEBI:18050",TRUE,-1.74,0.945,0.965,0.204,0.972,1.3,0.204,0.0354,0.972,"glutamine"
