"","in_pwy","impact","EMY.p","EMY.FDR","EM_dir.p","MY_dir.p","EM.t","EM.p","MY.t","MY.p","CHEBI"
"CHEBI:17775",FALSE,-0.00927,0.804,0.933,0.874,0.897,-0.159,0.874,-0.131,0.897,"urate"
"IL1A",FALSE,-0.00943,0.832,0.935,0.912,0.168,-1.38,0.176,1.41,0.168,NA
"EPO",FALSE,-0.0095,0.885,0.94,0.941,0.06,-0.075,0.941,-1.95,0.06,NA
"GSTA3",FALSE,-0.00958,0.783,0.933,0.885,0.00287,-1.22,0.23,3.24,0.00287,NA
"STC1",FALSE,-0.00965,0.895,0.943,0.946,0.057,-1.65,0.108,1.98,0.057,NA
"CCNB1",FALSE,-0.00988,0.861,0.935,0.928,0.0198,-1.5,0.144,2.46,0.0198,NA
"IL6",FALSE,-0.0102,0.649,0.933,0.806,0.153,0.874,0.389,-1.46,0.153,NA
"CAT",FALSE,-0.0107,0.768,0.933,0.877,0.124,1.18,0.247,-1.58,0.124,NA
"ICAM1",FALSE,-0.0111,0.874,0.935,0.119,0.935,-1.6,0.119,1.56,0.13,NA
"IL13",FALSE,-0.0111,0.782,0.933,0.884,0.201,1.22,0.232,-1.31,0.201,NA
"MBD4",FALSE,-0.0112,0.76,0.933,0.872,0.0582,1.16,0.256,-1.97,0.0582,NA
"CHEBI:15428",FALSE,-0.0115,0.801,0.933,0.261,0.895,-1.14,0.261,-0.133,0.895,"glycine"
"AKR7A2",FALSE,-0.0118,0.771,0.933,0.878,0.127,1.19,0.244,-1.57,0.127,NA
"HSD17B10",FALSE,-0.0118,0.788,0.933,0.887,0.184,1.24,0.225,-1.36,0.184,NA
"PLA2G10",FALSE,-0.012,0.816,0.933,0.903,0.033,1.33,0.193,-2.23,0.033,NA
"PLA2G5",FALSE,-0.0123,0.762,0.933,0.873,0.0484,1.16,0.254,-2.05,0.0484,NA
"CHEBI:18095",FALSE,-0.0131,0.797,0.933,0.32,0.893,-1.01,0.32,-0.136,0.893,"trans-4-hydroxyproline"
"HSD17B1",FALSE,-0.0134,0.773,0.933,0.879,0.172,-0.153,0.879,-1.4,0.172,NA
"ULBP3",FALSE,-0.0141,0.763,0.933,0.874,0.0762,1.17,0.252,-1.84,0.0762,NA
"MB",FALSE,-0.0143,0.681,0.933,0.187,0.825,-1.35,0.187,0.949,0.35,NA
"GAPDH",FALSE,-0.0143,0.838,0.935,0.15,0.916,1.47,0.15,-1.41,0.169,NA
"CHEBI:15354",FALSE,-0.0144,0.861,0.935,7.2e-06,0.928,5.35,7.2e-06,0.0912,0.928,"choline"
"HMOX2",FALSE,-0.0154,0.729,0.933,0.854,0.156,1.07,0.292,-1.46,0.156,NA
"CD33",FALSE,-0.0158,0.822,0.933,0.906,0.184,-1.35,0.187,1.36,0.184,NA
"PTGS2",FALSE,-0.0159,0.92,0.954,0.454,0.959,0.758,0.454,0.0517,0.959,NA
"CLU",FALSE,-0.0169,0.858,0.935,0.0529,0.926,2.01,0.0529,-1.48,0.148,NA
"AKR1A1",FALSE,-0.017,0.811,0.933,0.9,0.0571,1.31,0.199,-1.98,0.0571,NA
"CHEBI:30746",FALSE,-0.017,0.993,0.997,0.486,0.997,-0.706,0.486,-0.00431,0.997,"benzoate"
"CHEBI:16610",FALSE,-0.0172,0.811,0.933,0.901,0.0521,1.31,0.199,-2.02,0.0521,"spermidine"
"PRL",FALSE,-0.0184,0.969,0.98,0.984,0.0762,-0.0197,0.984,-1.83,0.0762,NA
"TNF",FALSE,-0.0198,0.886,0.941,0.941,0.0456,-1.61,0.117,2.08,0.0456,NA
"CHEBI:16015",FALSE,-0.0199,0.865,0.935,0.669,0.93,0.432,0.669,0.0882,0.93,"glutamate"
"CHEBI:27510",FALSE,-0.0229,0.649,0.933,0.21,0.806,1.28,0.21,-0.875,0.388,"4-hydroxycoumarin"
"TPO",FALSE,-0.0254,0.998,0.999,0.999,0.0504,-0.00142,0.999,-2.04,0.0504,NA
"MDH1",FALSE,-0.026,0.832,0.935,0.912,0.13,1.38,0.176,-1.55,0.13,NA
"NAMPT",FALSE,-0.0267,0.929,0.957,0.964,0.0516,1.86,0.0723,-2.03,0.0516,NA
"CHEBI:17750",FALSE,-0.027,0.78,0.933,0.883,0.603,-0.148,0.883,-0.525,0.603,"betaine"
"CHEBI:17033",FALSE,-0.0277,0.717,0.933,0.3,0.847,-1.05,0.3,-0.195,0.847,"bilirubin (E,E)*"
"CHEBI:68441",FALSE,-0.0449,0.924,0.956,0.0316,0.961,2.25,0.0316,0.049,0.961,"1-methylurate"
"CHEBI:68449",FALSE,-0.0481,0.554,0.933,0.0267,0.744,2.32,0.0267,-0.663,0.512,"1,7-dimethylurate"
"CHEBI:68444",FALSE,-0.05,0.581,0.933,0.018,0.762,2.49,0.018,-0.722,0.476,"1-methylxanthine"
"CHEBI:28946",TRUE,-0.115,0.501,0.933,0.0736,0.708,1.85,0.0736,-0.553,0.584,"theobromine"
"CHEBI:32643",TRUE,-0.243,0.533,0.933,0.103,0.73,1.68,0.103,-0.62,0.54,"5-acetylamino-6-formylamino-3-methyluracil"
"CHEBI:68531",FALSE,-0.384,0.871,0.935,0.0461,0.933,2.08,0.0461,-1.54,0.133,"3,7-dimethylurate"
"CYP3A4",TRUE,-0.925,0.733,0.933,0.197,0.856,1.32,0.197,-1.08,0.288,NA
"CHEBI:17627",TRUE,-1.2,0.812,0.933,0.901,0.0738,1.31,0.198,-1.85,0.0738,"heme"
"CHEBI:691622",TRUE,-1.6,0.872,0.935,0.154,0.934,1.46,0.154,0.084,0.934,"1,3,7-trimethylurate"
