"","in_pwy","impact","EMY.p","EMY.FDR","EM_dir.p","MY_dir.p","EM.t","EM.p","MY.t","MY.p","CHEBI"
"CHEBI:16742",FALSE,0.00716,0.216,0.933,0.211,0.464,-1.28,0.211,-0.741,0.464,"orotate"
"PRKAA1",FALSE,0.00704,0.275,0.933,0.123,0.524,1.59,0.123,0.644,0.524,NA
"CHEBI:16199",FALSE,0.0068,0.147,0.933,0.0545,0.383,2,0.0545,0.885,0.383,"urea"
"CHEBI:30805",FALSE,0.00671,0.00812,0.418,0.0901,0.029,1.75,0.0901,2.29,0.029,"laurate (12:0)"
"CHEBI:17712",FALSE,0.00652,0.0237,0.796,0.106,0.154,1.67,0.106,1.46,0.154,"xanthine"
"LYVE1",FALSE,0.00648,0.0773,0.933,0.235,0.278,-1.21,0.235,-1.1,0.278,NA
"CHEBI:30915",FALSE,0.00626,0.21,0.933,0.459,0.233,0.75,0.459,1.22,0.233,"alpha-ketoglutarate"
"CHEBI:28645",FALSE,0.006,0.121,0.933,0.348,0.0767,0.953,0.348,1.83,0.0767,"fructose"
"MAP2K2",FALSE,0.00599,0.253,0.933,0.503,0.393,-0.00732,0.994,0.867,0.393,NA
"IL5",FALSE,0.00589,0.286,0.933,0.535,0.0851,0.0883,0.93,-1.78,0.0851,NA
"CHEBI:27410",FALSE,0.00569,0.295,0.933,0.0905,0.543,1.75,0.0905,0.615,0.543,"N1-Methyl-2-pyridone-5-carboxamide"
"CHEBI:16828",FALSE,0.0054,0.0123,0.588,0.0583,0.111,1.96,0.0583,1.64,0.111,"tryptophan"
"ELANE",FALSE,0.00537,0.342,0.933,0.585,0.364,0.552,0.585,0.922,0.364,NA
"CHEBI:48991",FALSE,0.00517,0.264,0.933,0.0219,0.514,2.41,0.0219,-0.0347,0.973,"7-methylxanthine"
"CHEBI:17351",FALSE,0.0048,0.194,0.933,0.341,0.44,0.967,0.341,0.782,0.44,"linoleate (18:2n6)"
"CHEBI:17687",FALSE,0.00471,0.183,0.933,0.428,0.0966,0.802,0.428,1.71,0.0966,"glycocholate"
"AKT1",FALSE,0.0046,0.336,0.933,0.352,0.579,0.945,0.352,-0.202,0.841,NA
"CA1",FALSE,-0.00455,0.773,0.933,0.879,0.148,1.19,0.241,-1.49,0.148,NA
"CHEBI:17154",FALSE,-0.00472,0.658,0.933,0.811,0.271,0.895,0.378,-1.12,0.271,"nicotinamide"
"HMOX2",FALSE,-0.00475,0.729,0.933,0.854,0.156,1.07,0.292,-1.46,0.156,NA
"FABP5",FALSE,-0.00476,0.858,0.935,0.926,0.0266,0.0935,0.926,2.33,0.0266,NA
"CCL11",FALSE,-0.00495,0.691,0.933,0.831,0.211,-0.974,0.337,1.28,0.211,NA
"PGLYRP1",FALSE,-0.00495,0.629,0.933,0.793,0.19,0.827,0.414,-1.34,0.19,NA
"TGFBI",FALSE,-0.00501,0.977,0.986,0.989,0.392,0.0143,0.989,0.868,0.392,NA
"PPIA",FALSE,-0.00503,0.842,0.935,0.918,0.114,1.42,0.164,-1.63,0.114,NA
"IL1A",FALSE,-0.00508,0.832,0.935,0.912,0.168,-1.38,0.176,1.41,0.168,NA
"ENTPD1",FALSE,-0.00523,0.75,0.933,0.866,0.353,-0.17,0.866,-0.943,0.353,NA
"UFC1",FALSE,-0.00523,0.732,0.933,0.131,0.856,1.55,0.131,-1.08,0.288,NA
"CRK",FALSE,-0.00549,0.843,0.935,0.918,0.0597,1.43,0.164,-1.95,0.0597,NA
"EREG",FALSE,-0.0055,0.844,0.935,0.919,0.139,0.103,0.919,1.52,0.139,NA
"HNRNPAB",FALSE,-0.0055,0.738,0.933,0.859,0.132,1.09,0.282,-1.55,0.132,NA
"ADAMTS15",FALSE,-0.00553,0.898,0.943,0.0782,0.948,1.82,0.0782,-1.67,0.105,NA
"CHEBI:17775",FALSE,-0.00557,0.804,0.933,0.874,0.897,-0.159,0.874,-0.131,0.897,"urate"
"CHEBI:16995",FALSE,-0.00565,0.731,0.933,0.855,0.187,1.08,0.29,-1.35,0.187,"oxalate (ethanedioate)"
"HBEGF",FALSE,-0.00576,0.658,0.933,0.811,0.105,0.896,0.377,-1.67,0.105,NA
"IGF1",FALSE,-0.00588,0.75,0.933,0.866,0.0159,1.13,0.268,-2.55,0.0159,NA
"MB",FALSE,-0.00599,0.681,0.933,0.187,0.825,-1.35,0.187,0.949,0.35,NA
"S100A9",FALSE,-0.00634,0.824,0.933,0.31,0.908,1.03,0.31,0.117,0.908,NA
"KYNU",FALSE,-0.00653,0.939,0.961,0.0491,0.969,2.05,0.0491,-1.94,0.0621,NA
"B2M",FALSE,-0.00656,0.796,0.933,0.286,0.892,-1.09,0.286,-0.137,0.892,NA
"PRKCA",FALSE,-0.0067,0.807,0.933,0.198,0.899,1.32,0.198,0.129,0.899,NA
"RAC1",FALSE,-0.0067,0.769,0.933,0.877,0.193,1.18,0.246,-1.33,0.193,NA
"IL13",FALSE,-0.00695,0.782,0.933,0.884,0.201,1.22,0.232,-1.31,0.201,NA
"CYP3A4",FALSE,-0.00698,0.733,0.933,0.197,0.856,1.32,0.197,-1.08,0.288,NA
"FTH1",FALSE,-0.00722,0.688,0.933,0.829,0.136,0.966,0.342,-1.53,0.136,NA
"CA3",FALSE,-0.00727,0.805,0.933,0.897,0.0683,1.29,0.206,-1.89,0.0683,NA
"LPO",FALSE,-0.00727,0.69,0.933,0.831,0.0167,-0.971,0.339,2.53,0.0167,NA
"CLU",FALSE,-0.00741,0.858,0.935,0.0529,0.926,2.01,0.0529,-1.48,0.148,NA
"MMP7",FALSE,-0.00745,0.927,0.957,0.0199,0.963,-2.45,0.0199,1.85,0.0739,NA
"AKR1A1",FALSE,-0.00748,0.811,0.933,0.9,0.0571,1.31,0.199,-1.98,0.0571,NA
"LTF",FALSE,-0.00783,0.74,0.933,0.86,0.116,1.1,0.28,-1.62,0.116,NA
"CD40LG",FALSE,-0.00784,0.726,0.933,0.852,0.0988,1.06,0.296,-1.7,0.0988,NA
"PRDX6",FALSE,-0.00791,0.73,0.933,0.854,0.156,1.07,0.291,-1.45,0.156,NA
"PRL",FALSE,-0.00851,0.969,0.98,0.984,0.0762,-0.0197,0.984,-1.83,0.0762,NA
"ETHE1",FALSE,-0.00912,0.808,0.933,0.899,0.092,-1.3,0.203,1.74,0.092,NA
"HBA1",FALSE,-0.00956,0.783,0.933,0.885,0.173,1.22,0.23,-1.4,0.173,NA
"HSD17B10",FALSE,-0.00973,0.788,0.933,0.887,0.184,1.24,0.225,-1.36,0.184,NA
"ANGPT2",FALSE,-0.00982,0.929,0.957,0.0197,0.964,-2.46,0.0197,1.86,0.0725,NA
"HSP90AA1",FALSE,-0.0101,0.855,0.935,0.106,0.925,1.67,0.106,-1.47,0.151,NA
"ICAM1",FALSE,-0.0102,0.874,0.935,0.119,0.935,-1.6,0.119,1.56,0.13,NA
"AKR7A2",FALSE,-0.0105,0.771,0.933,0.878,0.127,1.19,0.244,-1.57,0.127,NA
"CHEBI:30746",FALSE,-0.0107,0.993,0.997,0.486,0.997,-0.706,0.486,-0.00431,0.997,"benzoate"
"MAP2K1",FALSE,-0.011,0.933,0.96,0.966,0.267,-0.0431,0.966,-1.13,0.267,NA
"MMP13",FALSE,-0.0114,0.976,0.985,0.988,0.0144,-2.36,0.0243,2.59,0.0144,NA
"CA9",FALSE,-0.0117,0.916,0.952,0.0271,0.957,-2.32,0.0271,1.77,0.0862,NA
"PTGS2",FALSE,-0.0117,0.92,0.954,0.454,0.959,0.758,0.454,0.0517,0.959,NA
"ARG1",FALSE,-0.0119,0.937,0.961,0.968,0.0603,-1.92,0.0639,1.95,0.0603,NA
"PRSS1",FALSE,-0.0122,0.998,0.999,0.999,0.35,0.00127,0.999,0.949,0.35,NA
"NAMPT",FALSE,-0.0122,0.929,0.957,0.964,0.0516,1.86,0.0723,-2.03,0.0516,NA
"GAPDH",FALSE,-0.0125,0.838,0.935,0.15,0.916,1.47,0.15,-1.41,0.169,NA
"CHEBI:17033",FALSE,-0.0126,0.717,0.933,0.3,0.847,-1.05,0.3,-0.195,0.847,"bilirubin (E,E)*"
"ADAM12",FALSE,-0.0129,0.95,0.967,0.975,0.698,0.0319,0.975,0.392,0.698,NA
"IDUA",FALSE,-0.0132,0.698,0.933,0.836,0.288,-0.992,0.329,1.08,0.288,NA
"TNF",FALSE,-0.0133,0.886,0.941,0.941,0.0456,-1.61,0.117,2.08,0.0456,NA
"EPO",FALSE,-0.0134,0.885,0.94,0.941,0.06,-0.075,0.941,-1.95,0.06,NA
"STC1",FALSE,-0.0164,0.895,0.943,0.946,0.057,-1.65,0.108,1.98,0.057,NA
"MDH1",FALSE,-0.017,0.832,0.935,0.912,0.13,1.38,0.176,-1.55,0.13,NA
"FGG",FALSE,-0.0176,0.991,0.996,0.111,0.995,-1.64,0.111,-0.0058,0.995,NA
"TPO",FALSE,-0.0454,0.998,0.999,0.999,0.0504,-0.00142,0.999,-2.04,0.0504,NA
"SOD1",TRUE,-0.623,0.729,0.933,0.854,0.0604,1.07,0.292,-1.95,0.0604,NA
"CAT",TRUE,-0.744,0.768,0.933,0.877,0.124,1.18,0.247,-1.58,0.124,NA
"CHEBI:17627",TRUE,-0.889,0.812,0.933,0.901,0.0738,1.31,0.198,-1.85,0.0738,"heme"
