"","BLUSH","DAISY","EAGLE","ELBOW","FENCE","FILMS","FLAGS","FOGGY","HUMAN","HUMOR","IMAGE","INTRO","IVORY","JUROR","KAYAK","LAKES","LASSO","LILAC","MAGIC","NURSE","ORBIT","PATCH","POETS","RADIO","RELIC","REMIX","RODEO","SCOPE","SHAWL","TANGO","TOPAZ","VENUE","VIDEO","VISTA","WALTZ","XEROX"
"ADAM12",0.25204215,0.105973862,-0.008765769,-0.164501252,-0.002078999,0.145689993,0.05944338,0.099884838,0.052718226,-0.15765972,0.086468992,-0.106561706,0.003875685,0.041706986,-0.104679216,-0.067240349,0.087318261,0.03512122,0.020386986,0.134953189,0.004423187,0.42892615,-0.041586154,-0.126268822,-0.173882945,0.002121221,0.040995543,-0.037037379,0.003375191,0.175620913,-0.275538517,0.081640013,0.168233824,0.005601303,0.13365333,0.004741458
"ADAM9",-0.217675684,-0.118646888,0.334850643,-0.488280359,-0.319223969,-0.20653573,0.286957417,0.066914556,0.045496983,0.109890678,0.467891067,-0.055016928,-0.193823269,-0.195156065,-0.037590437,-0.066006687,-0.10885722,-0.115336262,-0.041791516,0.207468652,-0.053060974,0.469316181,-0.083396321,-0.494199335,0.074444693,-0.091379732,0.08384361,0.013325868,-0.140099251,0.137607884,0.006409816,0.006000924,0.431190314,0.261067473,0.445957098,0.033042079
"ADAMTS1",1.232672531,-0.105300639,-0.431646225,1.265541368,-0.078690691,-0.611506394,0.067685465,-0.245911731,-0.067873341,-0.785065911,-0.771820169,1.247181433,0.230588823,0.576611131,-0.540075034,-1.092381034,-0.173293425,0.278434194,-0.030773423,-0.794971198,0.218917858,-0.912859153,0.263380121,1.145635222,0.605149004,0.468933486,0.549397002,-0.018682643,0.777929645,0.115398453,0.898556853,0.253676798,0.249091447,-0.507537529,0.236998755,0.77553325
"ADAMTS13",-0.266596725,0.278886933,0.276655614,-0.400066462,0.113486635,0.343077218,0.328702758,0.19116348,0.402513262,0.418860218,0.078754343,-0.485540779,-0.131939256,-0.257567485,0.631460797,0.144906117,0.191809245,0.345552148,0.396652991,-0.057433904,-0.141670074,0.567357449,0.276669255,-0.150251106,-0.480530196,0.10630139,0.524898437,0.101786355,0.09560682,0.092211963,-0.710532226,-0.36315041,0.127586234,0.203404716,0.350661199,0.386315675
"ADAMTS15",0.125227082,-0.043999633,-0.242752183,0.779711426,-0.043305754,-0.133672013,0.023681132,0.182881219,-0.228393727,-0.275731149,-0.405829352,-0.008933125,-0.014000062,0.539601967,-0.483090069,-0.337204487,0.049533386,0.194172548,-0.015679188,-0.122856748,-0.161828523,-0.061294362,-0.08107587,0.13869264,0.040412091,-0.165770599,0.037622224,-0.095811925,-0.036048294,0.017804261,0.46417722,0.179291259,0.430908892,-0.242485197,0.534250658,-0.054371208
"ADAMTS4",-0.246249822,0.133030047,0.235451504,-0.176877762,-0.04083056,0.386658629,0.260492211,0.205667559,-0.002654453,0.207375386,0.243662413,-0.514462786,0.161989467,-0.13852647,-0.062262684,0.246043689,0.120982433,0.065607713,0.037232906,-0.34179163,-0.202603523,0.335069195,-0.141222978,-0.25632392,-0.317446159,-0.228995156,-0.019588828,-0.092757141,-0.25061611,-0.102381227,-0.320822158,-0.149055809,0.104200819,-1.5936251,0.068600834,-0.133154123
"ADAMTS5",0.394493493,0.014825513,0.108261304,-0.183205382,0.735141826,0.204638136,0.236955283,0.023940355,0.105106574,-0.09535434,0.061791819,0.205379951,0.188915529,-0.180513023,0.080762916,-0.073814802,0.021091552,0.284024756,0.19841948,-0.148947942,-0.070757644,0.101811598,0.025856545,-0.137737747,-0.199119229,0.054420026,0.417422339,0.00221345,0.270463814,0.02026808,-0.265404071,-0.250877682,-0.025905441,-0.089925679,0.067622702,0.17030391
"ADCYAP1",0.2598697755,-0.1304269285,-0.167088199,0.2246728865,-0.05725814,-0.085140196,0.081523938,-0.1633210415,-0.157656995,-0.1131462065,-0.0578306485,0.247282713,0.0588682535,0.1221573285,-0.1935988755,-0.275487548,-0.1520756635,0.3801881645,-0.128448262,-0.4024348895,-0.141240001,-0.341368539,-0.02525537,0.3062395685,0.0925066985,-0.0470659975,0.1237943075,-0.0944851585,0.1400363135,-0.2106975765,0.0054157255,0.080495492,0.0568787645,0.859950487,0.2668673295,0.123990444
"ADGRE2",0.058445279,0.357822904,0.337652447,-0.573213405,-0.203859098,0.236343684,-0.088619539,-0.024627451,-0.086021789,0.286159131,-0.05587832,0.645365685,0.044092584,-0.071831413,0.245537758,-0.036602046,-0.067815384,-0.269291967,0.273360259,0.240765971,-0.08375135,0.376940735,-0.016427382,-0.211435328,-0.513385769,-0.041047326,0.035115587,0.038430222,0.144038011,0.139578349,-0.507652012,-0.570187148,-0.281666266,0.291194967,-0.130741633,-0.194545188
"ADGRG5",0.776901932,-0.078044931,0.004093648,0.395775597,-0.199256458,-0.261717477,-0.051700779,-0.31052064,0.006831263,-0.156900833,-0.02765025,0.833108839,0.072660462,0.219705472,0.023728571,-0.237460311,-0.062627525,0.053639325,-0.107569159,-0.150563134,0.246058767,-0.500148333,-0.019967732,0.480805269,0.26526559,0.102965017,0.03698367,0.03796785,0.407421263,0.09220487,0.388272781,0.027987865,-0.008743633,0.168531275,-0.047750261,0.327894676
"ADIPOQ",-0.08458261,-0.120413176,0.435536277,-0.452455426,0.264200477,0.234688074,-0.067661397,-0.448818933,0.467379473,0.162319315,-0.555664871,0.071723328,-0.101142248,0.070874874,-0.069165429,0.156923761,-0.168289678,0.342922773,0.703295073,0.078794331,0.230442285,0.109358887,-0.020269256,-0.471379549,0.257438914,0.141882162,-0.341256976,-0.042466496,0.273997768,0.468951059,-0.17455005,-0.084617149,-0.389036779,0.406312206,0.195164807,0.419396957
"ADRBK1",-0.63923096,-0.162789899,-1.031029015,0.630232392,-0.891492732,-0.829642731,-0.992214079,0.960124046,-0.51608111,-0.130640662,-2.22619316,-0.892141357,-0.328324433,0.845474349,-0.754724099,-0.24615941,0.145938141,-0.775195803,-1.051243921,1.890030367,0.736106822,0.264144419,-0.592499067,-0.654183972,2.627846004,-0.054137255,-1.365810458,-0.254539994,-1.284834709,0.218599634,1.257470812,0.873959267,0.219204459,-0.797861276,0.007311931,-0.593295943
"ADSL",1.814637257,-0.396971692,-0.785526483,1.998729481,0.443258373,-1.444805663,0.768030743,-0.806149268,0.85717171,-2.260424567,-0.134759131,2.807736292,1.260172028,-0.607661011,-0.314485067,-1.249008489,-0.929312684,-0.134107129,2.855700226,-2.328423561,-0.134109725,-3.206870155,1.165022757,2.98477935,-0.253184451,1.322469633,3.345111115,0.592760803,2.909383973,-0.00878103,1.072086613,-0.875007987,0.606031278,-2.003383277,-1.141044096,1.218271443
"AFM",-0.166208108,-0.250975526,0.042394401,-0.257187529,-0.714946551,-0.012429438,-0.01848061,-0.356345803,-0.234350765,-0.119739654,-0.777876534,-0.434634061,-0.077684677,-0.384630899,-0.362229856,-0.31852096,-0.059769253,-0.464722537,-0.116506887,-0.216020822,-0.384099001,-0.408539828,0.003842237,-0.235062872,-0.447713325,-0.087838489,-0.065336704,-0.340493886,-0.26111283,-0.277946173,-0.029043484,-0.807899551,-0.61189815,-0.556896858,0.005694364,-0.203270778
"AGER",-0.343617638,0.061470883,0.202837658,-0.357601494,-0.075546322,0.281292168,0.054066846,-0.238773915,0.407906544,0.529741432,0.142227106,-2.239325119,0.266084502,-0.316071849,0.383232878,0.424742972,-0.214137071,0.174638964,0.29050261,0.117886322,0.06126905,0.710963787,-0.041502862,-0.302165494,0.171818967,-0.329143589,0.199855109,0.283500768,0.335314649,0.139684469,-0.494453512,-0.320632723,-0.711435161,0.24862724,0.202724028,-0.163858429
"AGR2",0.194515615,-0.181754271,0.064321896,-0.030462728,-0.031481809,0.105150568,0.048298252,-0.087855073,-0.16147387,-0.086650945,0.014769893,0.071489674,0.018014382,-0.206939553,-0.037921067,-0.230341174,-0.116071144,0.103971998,-0.118542572,-0.413234806,-0.282747366,-0.17590349,0.054683891,0.28074945,-0.295012337,-0.087974284,0.06440717,-0.01053976,-0.011541622,-0.079501336,-0.082022182,-0.05296519,0.068958179,-0.10269836,0.144371878,-0.047933139
"AGRP",-0.349180027,0.108494169,0.669541947,-1.366222474,0.08166658,0.75182184,0.923933614,0.49792701,-0.087356143,0.185689636,0.311376287,-0.357042551,-0.056474855,-0.555092155,0.156687472,0.175059821,0.4966347,-0.741742349,0.987245246,0.112982569,-0.45380362,0.306842576,0.541372136,-0.433417506,-0.371080798,-0.26710407,0.856621023,0.425574733,0.157454789,0.504088477,-1.13318386,-0.137920548,0.244608563,0.042637773,0.267171023,0.156304733
"AGT",-0.04357531,-0.54808464,-0.038415147,-0.361472233,-0.46552043,0.058046188,0.143756203,0.1253704,-0.338999259,0.025146155,-0.048885559,0.479107113,-0.418984051,-0.508384466,0.725441146,-0.139736648,0.220618686,-0.221898444,0.632520838,-0.20830693,-0.573224516,-1.31088605,-0.183908719,-0.848264926,-0.257914198,-0.24125717,0.239520566,0.282523934,-0.425386876,0.016085075,-0.270201188,-0.062898835,0.138195307,-0.710778085,-0.196151867,-0.206160673
"AHSG",0.012094865,-0.263248653,0.007577747,-0.175610671,-0.366416606,-0.064938475,0.352617214,0.291855262,-0.444232264,-0.214899011,-0.394700472,-0.207164892,-0.116803635,-0.288518035,-0.238306355,-0.009335956,0.0016471,-0.211355374,0.061141727,-0.267568371,-0.586593084,-0.591436265,-0.09191406,-0.175726218,-0.197109009,-0.0199509,0.384636341,-0.05814805,0.059648864,0.206923652,-0.692381802,-0.367238644,-0.0194254,-0.455877238,0.138031603,-0.116410887
"AIF1",0.140174709,-0.083759144,-0.356135865,0.929592636,-0.148847366,-0.590892955,-0.310833668,0.243975737,-0.230444834,-0.190641126,-0.34294012,0.128627507,-0.144293704,0.569325072,-0.374516425,-0.180120009,-0.063926879,0.000136432,-0.359203426,0.163693952,0.235579359,-0.156612996,-0.380809704,-0.064437193,0.675930095,0.126917244,-0.649665151,-0.063192463,-0.365543491,0.099898793,0.353066787,0.274357442,0.332987849,0.021410134,0.136464797,-0.131978271
"AIMP1",-0.293301797,-0.157701904,0.322619001,-0.680379406,-0.287693714,0.252377299,0.101913516,-0.225404167,0.114680578,0.071825569,0.197868782,0.246666783,0.002443656,-0.485856025,-0.098873225,0.013514003,0.03618389,0.181810565,-0.078616564,-0.01671505,-0.051670873,0.054975458,-0.311952312,-0.197877533,-0.391280288,-0.159280246,0.156238328,0.016568949,-0.146972203,-0.158734819,-0.470792024,-0.038234639,0.016205169,-0.146756322,0.277947841,-0.170116431
"AIP",0.181674419,-0.076761839,-0.828812972,0.339787411,-0.75072415,-0.751102138,-0.855396975,-0.182751035,-0.354405238,0.176917047,-1.341732129,-0.058679922,-0.222004513,1.003688923,-0.591172022,-0.483930886,-0.051884828,-0.373319055,-0.70052462,0.748276325,0.647380676,0.001434418,-0.407751276,-0.121965824,2.309455262,0.137144261,-0.95531792,-0.311514004,-0.317894642,0.186112164,1.193681125,0.719805107,0.033948883,-0.871776168,-0.182471622,0.242819315
"AK1",1.438111558,0.463976131,-0.775150825,2.103532027,-0.829181509,-1.320632097,0.339388164,-0.507839218,-0.096110327,-2.282873934,-1.151697821,2.50097721,1.023683721,0.67710433,-0.8471325,-1.854513032,-0.775297406,0.747097961,0.990121369,-2.205685753,0.688370394,-2.885719537,1.538038836,2.328039643,1.375990196,1.213651953,1.945989997,-0.218355842,1.70390346,0.162688834,2.512719693,0.481693945,0.037415662,-1.309195485,-0.15496908,1.663256171
"AKR1A1",1.274569554,0.107964683,-0.698628815,1.87545396,-0.441855468,-1.11122527,-0.464346278,-0.605961577,-0.412757296,-0.810445693,-1.291708342,1.593806569,0.074823739,0.450319422,-0.498792082,-1.306823074,-0.035430341,-0.083794086,-0.260255202,-0.761479532,0.480011247,-1.682448634,0.22835895,1.598685615,1.637435948,0.134225568,0.012243703,-0.260990544,0.535949545,0.329160342,1.604875314,0.665947902,0.280631177,-1.17888076,-0.228185369,0.27924048
"AKR7A2",0.97141266,-0.126754733,-1.228945345,1.78179229,-0.968427714,-1.405422194,-1.01144738,-0.125071731,-0.430331675,-0.563684458,-2.194558783,0.868701073,-0.130936015,1.192832548,-0.863064954,-1.327996878,-0.00100216,-0.319690254,-0.860303495,0.114674737,0.985141575,-0.815209571,-0.07015708,1.304890062,2.94835937,0.230914959,-0.66898686,-0.427094629,0.033445784,0.402334857,1.730553883,1.029718105,0.498878762,-0.972132602,-0.046170181,0.120648512
"AKT1",-0.189554941,-0.174141294,-1.060607598,1.185129924,-0.861923149,-1.381743817,-1.096380923,0.53859455,-0.432033253,-0.209672334,-1.80013527,-0.24945927,-0.308694715,1.155846627,-0.652543873,-0.436434525,0.131808671,-0.645675096,-1.101216932,1.494294393,0.926232705,-0.051565263,-0.545705756,-0.460211377,2.260727938,-0.1972568,-1.683674848,-0.332253349,-0.891949718,0.197746307,1.357697201,0.79577204,0.330437928,-0.581856266,-0.156638139,-0.558024417
"ALB",-0.092753626,0.057506146,0.283712832,-0.244247153,-0.323362417,0.075321355,0.121412561,0.057971879,0.010697556,0.041935137,-0.25618552,-0.213376281,0.224328333,-0.392409266,0.046421924,0.21476514,0.090454865,0.048261573,-0.028136382,-0.191194858,0.101257612,0.134417688,0.210341039,0.008076429,0.094721129,-0.154170256,-0.004679829,0.144284522,0.169287662,0.0628366,-0.311093135,-0.035009199,-0.095365417,0.303762522,-0.015001818,0.093870661
"ALCAM",-0.258124551,0.03682383,0.095857687,-0.895863567,-0.126477267,0.296800988,0.255142606,0.314150373,-0.059290972,0.258963186,0.281785259,-0.065345208,0.085786321,-0.668004494,0.239456481,0.339190165,0.154894972,0.064154952,0.280142049,-0.042425459,-0.482292956,0.366556809,-0.039647848,-0.395106761,-0.349168857,-0.320773577,0.296721088,0.110004824,0.004880547,0.00025564,-0.834210688,-0.378255779,-0.393016191,-0.276955983,-0.031123469,-0.03754351
"ALPL",-0.010325785,0.642543368,0.133980425,1.459405903,0.22485764,0.443994147,0.558954836,0.215568398,0.139063143,-0.212492406,0.159326273,-0.446092368,0.502468145,-0.605484249,0.181925322,0.124359571,-0.391750357,0.062702707,0.625832951,-0.268228482,0.144816764,0.142871775,0.436966827,0.226299675,-0.38283436,0.596123804,0.563975991,0.264664142,-0.33750657,0.194037907,0.214208388,-0.492754079,-0.557634562,-0.375522068,0.207158615,0.403232424
"AMH",-0.87755555,0.139816119,0.268512669,-0.952240171,0.195065703,0.37710843,0.189513834,-0.011448008,0.327351317,0.391027329,0.386657736,-1.767124071,-0.197865518,-0.446841741,0.264411587,0.494109639,0.194689717,-0.143604991,0.175914292,0.227236437,-0.079342534,0.532117523,-0.122699206,-0.949387211,-0.384530951,0.067616202,-0.72494644,-0.046098683,-0.308264984,-0.145229359,-0.499990261,-0.306437663,-0.091467368,-0.065759284,-0.045476479,0.028056807
"AMICA1",-0.212685924,0.089394536,0.180069151,-0.602820488,0.038802675,0.217190837,0.16281013,0.099535674,0.158129698,0.157038931,0.141900894,-0.380692925,0.038679047,-0.205651448,0.112909001,0.225715502,0.10552069,0.077619743,-0.178931887,0.217269989,0.055615137,0.280992834,0.293390339,-0.376077482,-0.569176801,-0.184011915,-0.19360777,-0.178123887,-0.129823343,-0.10696078,-0.159198595,-0.061337782,-0.111701817,0.298854881,-0.028412856,-0.203192044
"AMN",0.9501377,0.596662068,-0.466828445,0.958500064,0.292794273,0.329814199,0.185545982,0.204245644,-0.240851786,-0.45439226,-0.759174364,0.571081308,-0.104215532,0.156163716,-0.167981809,-0.353875297,-0.227436815,0.413732483,0.272879914,-0.903422488,-0.184706045,-0.18718709,0.602439644,1.114963685,-0.141980943,0.568561561,0.798415647,-0.362899876,0.339047816,0.045716247,0.443944493,-0.445960348,0.02339051,-0.39353643,0.284639292,0.234945781
"ANG",-0.111187356,0.148570588,0.348631701,-0.049002444,0.35210305,0.321332063,-0.016939658,-0.054236167,0.32777763,0.325826975,0.417329635,0.502315241,0.417847787,-0.012920218,0.249806457,0.235688043,0.148649109,-0.31213825,0.496633585,-0.085179251,0.358115939,0.460048219,-0.015211659,0.022726265,0.00818382,0.218444572,0.192555899,0.045429968,0.203439204,0.132483351,-0.17620132,0.231134359,0.366193924,0.429881722,0.090613001,0.257106094
"ANGPT1",0.132703254,0.306020722,-0.696146248,1.276737491,-0.314436785,-0.774783968,-0.717907349,0.617022477,-0.448986372,0.016089263,-1.105786688,0.004686615,0.426590597,1.115854575,-0.444228392,-0.293885596,-0.167754785,-0.36823621,-0.505819042,1.064527852,0.633262988,-0.249813019,-0.179675259,-0.167091409,1.479374393,0.074028508,-1.276558417,-0.031091015,-0.726582419,0.196099511,1.570889116,1.080861967,-0.185438226,-0.301206255,-0.031953803,-0.476799023
"ANGPT2",-0.310216068,-0.005816817,0.223405518,-0.656486332,-0.289126027,0.14817817,0.013183241,0.293120132,0.050355732,0.565415526,0.457704259,-0.283481447,0.097097993,-0.993396258,0.901985133,0.240833108,0.57209615,0.372597928,0.246772775,-0.012914615,-0.679943156,0.788525559,-0.23405134,-0.230544075,0.364292999,-0.604409172,0.147392177,0.519714739,0.241448503,0.156883463,-1.143140716,-0.241148498,-0.04657924,0.354529867,-0.010189016,0.167049387
"ANGPT4",0.484797209,-0.156053853,-0.493557555,1.355782485,-0.293638274,-0.790010359,-0.233458877,0.255305397,-0.455913472,-0.411627508,-1.063682226,0.307588348,0.254235174,1.016659601,-0.780723975,-0.602812576,0.044637305,0.046552467,-0.338596266,0.053834585,0.415847047,-0.229881732,-0.287327949,0.696363458,1.177975861,0.163627159,-0.380613437,-0.132800475,-0.155570911,0.331493701,1.090053669,0.749815356,0.922128681,-0.35283431,0.785815331,0.094905802
"ANGPTL3",0.777914307,-0.134181171,-0.3160626,1.023864145,0.016650072,-0.381801011,0.038167021,-0.21687925,-0.28094579,-0.395816564,-0.427149995,0.585767031,0.108534572,0.46002069,-0.471092743,-0.505814358,-0.041035048,0.26673966,-0.162646525,-0.381863389,0.017299424,-0.561381686,0.068535741,0.651402802,0.36832198,0.053182281,0.044702331,-0.0630378,0.339419377,0.041259507,0.599561972,0.331477945,0.217175648,-0.177484141,0.196570457,0.287822343
"ANGPTL4",0.768881543,-0.23871486,-0.20303359,-0.454176771,-0.267520435,0.210584844,0.298419388,-0.691477827,0.228041335,-0.27752019,-0.079642751,0.841269211,-0.206358994,-0.402868412,0.012573047,-0.797751452,-0.410493337,1.119296607,0.565785497,-1.791202029,-0.291444355,-0.849911614,0.228200709,1.1641127,-0.050833959,0.267464078,0.901725246,0.090226562,0.863660227,-0.270697234,-0.178481858,-0.207505794,-0.088878188,-0.00138138,0.367467541,0.502031656
"ANP32B",-0.09978521,0.227762145,0.080893685,0.228239991,0.215604119,0.083765106,0.027668972,0.326954647,0.086541414,0.334370622,0.16050027,-0.204358499,0.055010411,0.261343087,0.202314271,0.051577543,0.185649559,0.004631449,0.126160193,0.141116551,-0.087102693,0.098615881,-0.158983837,-0.049863277,-0.007089425,0.32223275,-0.052306969,-0.049547538,-0.038984888,0.115104228,0.003082024,-0.005134151,0.158697746,-0.009809523,0.153983458,0.002501422
"ANXA1",0.309578687,0.042498859,0.019127006,2.291844172,-0.217183349,0.287497957,0.00412168,0.373275444,-0.197857113,0.645569265,0.183322312,0.217605192,0.429330261,0.904816119,0.025608987,0.347181718,-0.133608603,-0.406959543,-0.443583958,0.801226547,-0.091141647,0.457023021,-0.154369164,-0.277411631,1.62286649,0.277862073,0.557280446,0.833981585,0.188922014,0.001238039,0.765608938,0.786159858,-0.180442134,0.214221101,-0.298766401,-0.025130934
"ANXA2",-0.352156371,-0.01799996,-0.076725061,0.30564108,0.283490887,0.041607269,0.000824579,0.286435158,-0.178763906,0.246745959,-0.296943278,-0.108911408,0.303436707,-0.31699426,-0.227949399,0.31036341,0.059826069,0.050114632,-1.209632572,0.691854492,-0.037049053,0.054496908,-0.254945618,-0.576164921,-0.145446203,-0.167015448,-0.5818747,-0.029457716,-0.379954394,0.058039847,-0.601850469,0.389323752,0.23843644,-0.270706949,-0.295453658,0.123498287
"ANXA6",-0.349097622,-0.248303999,-1.144033757,-0.345162998,-1.405835164,-0.24889778,-0.786725018,1.016105124,-0.629249652,-0.335988327,-1.810243841,-0.762875416,0.304941334,0.34299125,-0.764930461,-0.379180245,0.093055725,-0.71726842,-0.886845892,1.477868809,0.665863909,-0.366003739,-0.445999206,-0.860643713,3.005350852,-0.553751211,-0.839326325,-0.152200689,-1.144961883,0.278782908,0.491898848,0.563365109,0.219703352,-1.190439317,-0.086128027,-0.615816986
"APCS",-0.489637291,0.392399855,0.048115836,-0.026938315,-0.077461376,0.213302491,-0.157710645,0.281949232,0.039413385,0.038865708,-0.271384778,0.800802389,-0.266377718,-0.008000224,-0.066804196,-0.346582136,0.27192069,-0.18152225,-0.281167238,-0.11265395,-0.056571061,0.006548535,-0.074573002,-0.035726478,-0.214521046,-0.099598513,0.11362493,-0.421794191,-0.130330874,0.062024892,-0.088670822,-0.176207968,0.092610066,-0.452355782,-0.181996415,-0.087602549
"APOA1",-0.317940514,0.03077981,0.356527663,0.038012011,-0.884230161,-0.237445282,-0.326431507,-0.207302811,-0.062391912,0.01972352,-1.795347109,1.053306928,0.129367559,-0.281142307,-0.452947254,-0.272446852,0.05257606,-0.482786726,-0.453880701,-0.248428245,-0.262131844,-0.074169703,0.428663906,-0.411544615,-0.588561867,-0.566681056,-1.052200293,-0.377086799,-0.622218904,0.022181617,0.104630911,-0.769960073,-0.203707807,0.67577972,-0.591533924,-0.154688794
"APOB",-0.296045777,-0.155453666,0.296851987,-1.925821243,0.12731704,0.747543894,0.772465437,0.48996847,0.55486465,0.553940074,0.564868129,0.675908473,-0.028223519,-0.484659992,0.174112885,1.104985744,-0.259330223,0.583395417,0.437489053,-0.096303369,0.470303011,1.117717523,0.44097739,-0.848377683,-0.627638508,-0.188617212,0.044544068,0.112692707,0.129791946,0.037257913,-1.164854934,-0.780321248,0.302562053,1.158411785,-0.464314739,0.346970123
"APOD",0.480472648,-0.092279092,-0.083204489,0.613801557,-0.13014686,-0.51978198,-0.034332623,-0.123942371,-0.290250252,-0.211362361,-0.583923706,0.305858094,-0.192953238,-0.18443313,-0.014522239,-0.442248007,-0.199710161,0.191826764,-0.303297655,-0.298690012,-0.415336897,-0.791868972,0.064497057,0.444723026,0.212628783,0.00756129,-0.15377503,0.050228764,-0.157238081,-0.120445968,0.241045012,0.299593876,0.207787171,0.138817827,0.298969826,-0.065908109
